"MarkettypeID","TradingMonth","HML1"
"P9706","2007-10","-0.036290"
"P9707","2007-10","-0.034392"
"P9710","2007-10","-0.037401"
"P9709","2007-10","-0.036290"
"P9712","2007-10","-0.036290"
"P9714","2007-10","-0.036290"
"P9715","2007-10","-0.037401"
"P9713","2007-10","-0.037401"
"P9706","2007-11","0.008438"
"P9707","2007-11","-0.014334"
"P9710","2007-11","0.008769"
"P9709","2007-11","0.008438"
"P9712","2007-11","0.008438"
"P9714","2007-11","0.008438"
"P9715","2007-11","0.008769"
"P9713","2007-11","0.008769"
"P9706","2007-12","0.008662"
"P9707","2007-12","0.028281"
"P9710","2007-12","0.015981"
"P9709","2007-12","0.008662"
"P9712","2007-12","0.008662"
"P9714","2007-12","0.008662"
"P9715","2007-12","0.015981"
"P9713","2007-12","0.015981"
"P9706","2008-01","-0.024440"
"P9707","2008-01","-0.010766"
"P9710","2008-01","-0.019282"
"P9709","2008-01","-0.024440"
"P9712","2008-01","-0.024440"
"P9714","2008-01","-0.024440"
"P9713","2008-01","-0.019282"
"P9715","2008-01","-0.019282"
"P9706","2008-02","0.027775"
"P9707","2008-02","-0.043007"
"P9710","2008-02","0.025241"
"P9709","2008-02","0.027775"
"P9712","2008-02","0.027775"
"P9714","2008-02","0.027775"
"P9713","2008-02","0.025241"
"P9715","2008-02","0.025241"
"P9706","2008-03","-0.037009"
"P9707","2008-03","-0.035947"
"P9710","2008-03","-0.037296"
"P9709","2008-03","-0.037009"
"P9712","2008-03","-0.037009"
"P9714","2008-03","-0.037009"
"P9713","2008-03","-0.037296"
"P9715","2008-03","-0.037296"
"P9706","2008-04","-0.020180"
"P9707","2008-04","0.021688"
"P9710","2008-04","-0.019699"
"P9709","2008-04","-0.020180"
"P9712","2008-04","-0.020180"
"P9714","2008-04","-0.020180"
"P9713","2008-04","-0.019699"
"P9715","2008-04","-0.019699"
"P9706","2008-05","0.045009"
"P9707","2008-05","-0.026987"
"P9710","2008-05","0.037803"
"P9709","2008-05","0.045009"
"P9712","2008-05","0.045009"
"P9714","2008-05","0.045009"
"P9713","2008-05","0.037803"
"P9715","2008-05","0.037803"
"P9706","2008-06","-0.015263"
"P9707","2008-06","-0.020037"
"P9710","2008-06","-0.021667"
"P9709","2008-06","-0.015263"
"P9712","2008-06","-0.015263"
"P9714","2008-06","-0.015263"
"P9713","2008-06","-0.021667"
"P9715","2008-06","-0.021667"
"P9706","2008-07","0.002494"
"P9707","2008-07","0.031128"
"P9710","2008-07","0.005265"
"P9709","2008-07","0.002494"
"P9712","2008-07","0.002494"
"P9714","2008-07","0.002494"
"P9713","2008-07","0.005265"
"P9715","2008-07","0.005265"
"P9706","2008-08","0.030025"
