,小市值策略回报,市场平均回报,下月中证500回报,下月沪深300回报,下月上证50回报,小市值策略所选股票
2013-04-26,0.17126170000000002,0.1369425208333333,0.14058299999999999,0.06501799999999999,0.042654000000000004,600247|600265|600455|600556|600715|600731|600965|000613|002071|002473
2013-05-31,-0.1096596,-0.16391323217821782,-0.157565,-0.155687,-0.15693900000000002,600234|600634|600768|600892|600984|000018|000023|002058|002113|002373
2013-06-28,0.0919556,0.06259739870259481,0.060187,-0.003462,-0.031058999999999996,600137|600634|600689|600768|000004|000711|002058|002112|002113|002125
2013-07-31,0.16826009999999997,0.09016043286573146,0.06803300000000001,0.055124,0.056915,600137|600634|600689|600768|600892|000004|000018|000038|000546|002058
2013-08-30,0.10742940000000001,0.04761947884416924,0.05697000000000001,0.041111,0.033513,600137|600455|600634|600768|600892|000018|000038|000803|002058|002633
2013-09-30,-0.0289132,-0.02252390303030306,-0.041070999999999996,-0.014661000000000002,-0.007308,600137|600455|600520|600603|600634|600768|600892|000018|000803|002058
2013-10-31,0.10180910000000001,0.07168014227434992,0.062618,0.027478,0.018615,600137|600455|600520|600603|600768|600892|000004|000018|000711|002058
2013-11-29,-0.084807,-0.033321224294354884,-0.02972,-0.044657999999999996,-0.052141,600137|600455|600520|600634|600768|600892|000004|000018|000803|002058
2013-12-31,0.012670500000000001,0.0016316469110999542,0.014708,-0.054752999999999996,-0.061873000000000004,600137|600265|600455|600768|600892|000004|000018|000711|000803|002058
2014-01-30,0.0646038,0.0377394952618454,0.023296,-0.01066,-0.008816,600265|600603|600681|600768|600793|600892|000018|000546|000711|000803
2014-02-28,-0.0060332000000000024,-0.01777463415866599,-0.034053,-0.014990999999999999,0.000998,600137|600265|600681|600768|600793|600892|000018|000546|000711|000803
2014-03-31,0.04382570000000001,-0.013639310045894934,-0.019363,0.005756,0.019802,600265|600455|600689|600768|600793|600892|000018|000546|000711|000803
2014-04-30,0.0586056,0.024165646936656248,0.016746,-0.001017,-0.008504000000000001,600265|600444|600455|600689|600768|600892|000018|000546|000803|002015
2014-05-30,0.0693549,0.03913795645412132,0.024982,0.004013,0.00020800000000000001,600265|600444|600689|600768|600892|000004|000018|000546|000803|002015
2014-06-30,0.07979240000000001,0.08801082606410937,0.084624,0.085507,0.094065,600265|600444|600656|600681|600689|600793|600892|000004|000546|000803
2014-07-31,0.14410610000000004,0.0514878844169246,0.04013,-0.005091,-0.02501,600265|600444|600656|600681|600689|600793|600892|000004|000546|002034
2014-08-29,0.23503029999999997,0.13529845191313336,0.11026500000000002,0.048198000000000005,0.024291999999999998,600265|600593|600656|600681|600689|600793|600892|000004|000546|000610
2014-09-30,-0.009170900000000001,0.016034722366372572,0.014299000000000001,0.023393,0.023207,600136|600265|600689|600768|600793|000004|000546|000610|002034|002125
2014-10-31,0.0246522,0.05788080967238695,0.051911,0.119799,0.155166,600265|600444|600689|600719|600768|600793|000018|000546|002034|002125
2014-11-28,-0.087443,-0.01690497097625332,0.014765,0.258075,0.34847100000000003,600265|600444|600593|600719|600768|600793|000018|000546|002034|002125
2014-12-31,0.1346966,0.06740968841336106,0.058244000000000004,-0.028105,-0.068248,600265|600421|600444|600455|600689|600768|600793|000004|000803|002125
2015-01-30,0.0773466,0.06723600574412536,0.068481,0.040313999999999996,0.028775,600265|600421|600444|600455|600689|600768|600793|000004|000803|002034
2015-02-27,0.28010699999999994,0.21753532414151913,0.20514200000000002,0.133888,0.113175,600265|600444|600455|600593|600603|600689|600768|600793|000004|000803
2015-03-31,0.23811920000000003,0.16859502430005288,0.167731,0.172463,0.179998,600241|600265|600419|600421|600444|600455|600539|600793|000004|000803
2015-04-30,0.3384688,0.2227784668820681,0.176769,0.019146,-0.042811,600241|600265|600419|600444|600539|600593|600793|000004|002058|002193
2015-05-29,-0.011638999999999993,-0.0917983261363638,-0.10643499999999999,-0.075985,-0.077558,600241|600385|600419|600444|600506|600984|000004|000985|002193|002205
2015-06-30,-0.1516016,-0.18578912983918994,-0.132378,-0.146725,-0.142433,600213|600241|600265|600306|600444|600539|600593|600984|000594|002136
2015-07-31,-0.029209399999999996,-0.13040399713795084,-0.148277,-0.11794600000000001,-0.101897,600213|600241|600242|600301|600444|600506|600539|600603|600605|600984
2015-08-31,-0.014965899999999996,-0.040532684466019445,-0.06952799999999999,-0.048592,-0.029102,600444|600605|600758|600768|600984|000567|000803|000995|002134|002193
2015-09-30,0.3559152,0.226613550429185,0.15697,0.10338299999999999,0.077748,600137|600145|600605|600689|600768|000803|000856|000995|002034|002193
2015-10-30,0.21545110000000003,0.09947820459401717,0.04565,0.009149,0.010081,600137|600145|600265|600758|600768|000691|000856|000995|002193|002715
2015-11-30,0.21523979999999998,0.07307163871308023,0.02825,0.046151,0.036173000000000004,600145|600213|600265|600444|600506|600539|600768|000691|000723|000995
2015-12-31,-0.2958377,-0.29760223877651665,-0.282049,-0.21037600000000004,-0.184976,600213|600241|600319|600539|600681|600719|600768|000856|000995|002193
2016-01-29,0.044883700000000006,-0.010893153884462154,-0.021702000000000003,-0.023293,-0.014394,600099|600213|600423|600719|600768|600793|000856|002057|002109|002193
2016-02-29,0.31482849999999996,0.1852997931844888,0.150526,0.118375,0.108983,600099|600302|600593|600719|600768|000004|002057|002193|002627|002715
2016-03-31,0.1303128,-0.0046957155511810995,-0.027652,-0.019062,-0.009753,600099|600213|600455|600603|000856|000995|002109|002193|002205|002715
2016-04-29,-0.06007710000000001,-0.019856149509803887,-0.0063939999999999995,0.004059,0.009438,600099|600306|600319|600603|600656|000856|002109|002193|002205|002627
2016-05-31,0.0282629,0.04881371302644463,0.029622000000000002,-0.004934,-0.015322,600099|600213|600306|600444|000691|000856|000929|002193|002205|002627
2016-06-30,0.0208138,0.005534748322147656,0.012966,0.015856,0.015363,600099|600234|600306|600423|600603|000611|000691|000995|002109|002193
2016-07-29,0.083386,0.04807885474077534,0.037292,0.038659,0.035945,600099|600213|600603|600793|000611|000691|000929|000995|002109|002715
2016-08-31,0.0785062,-0.008961517889908273,-0.016495,-0.02239,-0.024794999999999998,600099|600319|600444|600603|600793|000691|000995|002109|002205|002715
2016-09-30,0.054186,0.03809995349907914,0.019615999999999998,0.025513,0.033582,600099|600444|600603|600793|600817|000691|000995|002057|002109|002715
2016-10-31,0.018415000000000004,0.02918553698630132,0.020669999999999997,0.060463,0.07506900000000001,600099|600385|600444|600603|600793|000691|000995|002057|002109|002715
2016-11-30,0.10908690000000001,-0.042145015808491434,-0.048887,-0.064421,-0.054770000000000006,600099|600306|600444|600603|600793|600817|000691|000995|002057|002109
2016-12-30,-0.0532026,-0.021400517058041635,-0.006372999999999999,0.023528,0.033723,600306|600444|600448|600561|600719|600793|600817|000995|002627|002715
2017-01-26,0.0093514,0.04642846824353935,0.036515,0.019141,0.00283,600301|600306|600561|600817|000611|000691|000995|002057|002248|002715
2017-02-28,-0.044190999999999994,-0.01736347746170679,-0.007645,0.000938,-0.0046229999999999995,600301|600306|600385|600444|600455|600817|000611|000691|000995|002715
2017-03-31,-0.09961389999999999,-0.057748449521322964,-0.029647000000000003,-0.004716,-0.005386,600301|600306|600385|600423|600768|000691|000995|002633|002667|002715
2017-04-28,-0.0758713,-0.07537855915371329,-0.062423,0.015446000000000001,0.056258,600301|600385|600423|600561|600605|600768|000502|000668|000995|002633
2017-05-31,0.04465080000000001,0.04423274193548382,0.053924,0.049793000000000004,0.028595,600301|600385|600423|600561|600768|600817|000691|000995|002207|002248
2017-06-30,0.028700200000000002,0.005904820920502109,0.026039999999999997,0.019382,0.034569,600301|600385|600423|600561|600768|600817|000004|000033|000691|002207
2017-07-31,0.0997069,0.035520685606060566,0.027379,0.022532,0.029001999999999997,600301|600385|600423|600768|603286|603580|000004|000502|000691|002633
2017-08-31,-0.0273904,0.009409504926108384,0.020529,0.0037700000000000003,-0.015581999999999999,600301|600385|600561|600605|600768|600778|000004|000502|002207|002633
2017-09-29,-0.017093900000000002,-0.013560762828282827,-0.006520000000000001,0.044369,0.045420999999999996,600301|600385|600423|600561|600768|000004|000502|002207|002248|002633
2017-10-31,-0.07781909999999999,-0.06659711204481791,-0.045241,-0.000155,0.024963,600301|600385|600423|600561|600768|600778|000004|002207|002248|002633
2017-11-30,0.0929609,-0.015703169358015006,-0.002012,0.006178,-0.001051,600301|600306|600385|600423|600696|600778|603029|000502|002207|002248
2017-12-29,-0.04774190000000001,-0.021295134539732467,-0.009836,0.06079400000000001,0.089633,600301|600306|600385|600561|600778|603029|603031|000004|000702|002633
2018-01-31,-0.0719881,-0.05358083917775089,-0.026764999999999997,-0.05899600000000001,-0.076411,600301|600385|600421|600768|600778|600817|000004|002209|002473|002633
2018-02-28,0.0999826,0.038165005273833694,0.015116999999999998,-0.031101,-0.054372000000000004,600301|600385|600778|600817|603029|603090|000929|002473|002633|002816
2018-03-30,-0.076265,-0.042697143993635694,-0.0415,-0.036327,-0.025204,600301|600421|600778|600817|000502|000702|000929|000995|002473|002633
2018-04-27,-0.0007280999999999995,0.02199449253731343,-0.018172999999999998,0.012111,0.00179,600506|600539|600870|603838|000509|000611|000972|002548|002575|002598
2018-05-31,-0.11667179999999999,-0.10915517938630999,-0.09326799999999999,-0.076636,-0.067103,600193|600301|600306|600421|600768|600817|000707|000995|002188|002473
2018-06-29,0.043511299999999996,0.010029227504911581,-0.005566,0.0019030000000000002,0.026295,600193|600306|600421|600806|600817|000707|000995|002188|002207|002473
2018-07-31,-0.0338354,-0.07853518389057745,-0.07206,-0.052069000000000004,-0.027755000000000002,600193|600301|600421|600817|000995|002188|002207|002260|002473|002604
2018-08-31,0.007720600000000003,-0.002513408429690412,-0.002926,0.031297000000000005,0.053421,600306|600421|600817|000995|002072|002188|002207|002260|002473|002604
2018-09-28,0.0382864,-0.09255198595713246,-0.11002100000000001,-0.082888,-0.059674,600306|600421|600817|000953|000995|002072|002188|002260|002473|002604
2018-10-31,0.12737099999999998,0.05892229803047187,0.024365,0.005983,-0.009415999999999999,600421|600817|000995|002072|002188|002200|002207|002260|002473|002604
2018-11-30,-0.035099000000000005,-0.041717332491886014,-0.047664,-0.051073,-0.055576,600193|000929|000953|000995|002188|002200|002207|002260|002473|002604
2018-12-28,-0.026359600000000004,-0.02784815384615385,0.002023,0.063435,0.08301900000000001,600081|600131|600745|603330|000534|002243|002483|002627|002719|002836
2019-01-31,0.2496429,0.214442760630499,0.203239,0.146094,0.104894,600306|600462|000953|000995|002072|002188|002200|002260|002473|002604
2019-02-28,0.0706507,0.10309999891735819,0.103948,0.055314999999999996,0.034454000000000005,600306|600462|600817|000953|000995|002072|002188|002200|002260|002604
2019-03-29,0.0334054,-0.0370171845540246,-0.04328,0.010554000000000001,0.037601,600306|600462|600817|000953|000995|002072|002188|002200|002260|002604
2019-04-30,-0.0489104,-0.049056233345601885,-0.074528,-0.072426,-0.073437,600306|600385|600817|603029|603269|603286|000953|002188|002200|002890
2019-05-31,0.0104911,0.006164278453829641,0.007834,0.053943,0.073893,600462|600891|603725|000752|000953|002072|002188|002499|002629|002766
2019-06-28,-0.0471375,-0.019444254429482624,-0.009551,0.002554,-0.006122,600401|600462|600891|000693|000953|002070|002072|002188|002499|002629
2019-07-31,-0.0138878,-0.016258317925194075,-0.003408,-0.009326000000000001,-0.013822,600462|600891|000752|000953|002072|002188|002220|002499|002629|002766
2019-08-30,-0.041788099999999995,0.012653429582448656,0.011134999999999999,0.003932,0.008808,600306|600462|600634|600891|002072|002188|002220|002499|002629|002766
2019-09-30,-0.05427859999999999,-0.005137513913349778,-0.004752,0.018933000000000002,0.019681,600462|600634|600891|002018|002072|002188|002477|002499|002629|002766
2019-10-31,0.1588852,-0.01806765426850866,-0.004572,-0.014943000000000001,-0.020309999999999998,600462|600634|600891|000820|002072|002143|002188|002220|002499|002629
2019-11-29,0.1647551,0.07969273274956218,0.076144,0.069975,0.058209000000000004,600462|600634|600747|600891|000820|002072|002188|002499|002629|002766
2019-12-31,-0.04147340000000001,-0.006477111423550085,0.020897,-0.022624000000000002,-0.042677,600112|600240|600306|600462|600634|600891|000018|002072|002188|002499
2020-01-23,0.008261999999999999,0.008261999999999999,0.013677000000000002,-0.015947,-0.038005000000000004,600538|002115
2020-02-28,0.007873500000000002,-0.02389792907277429,-0.075182,-0.064438,-0.046671,600112|600275|600306|600462|600634|600891|000820|002072|002220|002499
2020-03-31,-0.0838652,0.02003499470899473,0.061967999999999995,0.061424,0.064152,600112|600247|600306|600462|600634|000820|002072|002220|002356|002499
2020-04-30,-0.0907016,0.021136195348837244,0.009802,-0.011644,-0.019305000000000003,600074|600112|600241|600247|600634|000820|000835|002220|002356|002499
2020-05-29,0.04341779999999999,0.05922418539325846,0.08473,0.076788,0.048246,600083|600112|600247|600634|603996|000820|000890|002220|002356|002499
2020-06-30,0.027862200000000014,0.1357033129395215,0.12196400000000002,0.12754400000000002,0.10444,600634|600671|603996|000820|000835|000890|002356|002499|002509|002604
2020-07-31,0.1164844,0.02919468558336282,0.01349,0.025807999999999998,0.029098000000000002,600069|600247|600306|600634|603996|000820|000835|002220|002356|002499
