year,code,date,circulate,return1,return2,type,mean_mv,SB
2006,000001,2006-06-01,10654776.46,-0.138952,-0.138952,4,666109.13,2
2007,000001,2007-06-01,42661167.9,0.055417,0.055455,4,1683360.0,2
2008,000001,2008-06-01,41404945.23,-0.233849,-0.233849,4,1378859.24,2
2009,000001,2009-06-01,63794579.75,0.223094,0.223094,4,2142864.36,2
2010,000001,2010-06-01,54374986.71,0.0,0.0,4,2400832.35,2
2011,000001,2011-06-01,53008469.78,-0.033409,-0.033409,4,3388720.185,2
2012,000001,2012-06-01,47077237.47,-0.033779,-0.033779,4,2520976.5300000003,2
2013,000001,2013-06-01,49536681.53,-0.232797,-0.23192,4,2494599.06,2
2014,000001,2014-06-01,66308390.92,0.048286,0.048,4,3496611.82,2
2015,000001,2015-06-01,171630953.58,-0.050914,-0.050914,4,8414587.47,2
2016,000001,2016-06-01,127291269.37,0.004295,0.004076,4,6419702.33,2
2017,000001,2017-06-01,158859922.82,0.020652,0.020652,4,5528310.125,2
2018,000001,2018-06-01,156077543.17,-0.107073,-0.107073,4,4026835.105,2
2019,000001,2019-06-01,236606000.53,0.143633,0.143268,4,4378639.125,2
2020,000001,2020-06-01,248393634.3,-0.015385,-0.015385,4,4823275.33,2
2006,000002,2006-06-01,16511068.89,-0.053601,-0.053601,4,666109.13,2
2007,000002,2007-06-01,93332479.95,-0.014941,-0.014941,4,1683360.0,2
2008,000002,2008-06-01,84818863.42,-0.265772,-0.265013,4,1378859.24,2
2009,000002,2009-06-01,119749210.1,0.314909,0.314168,4,2142864.36,2
2010,000002,2010-06-01,65468221.79,-0.059639,-0.059639,4,2400832.35,2
2011,000002,2011-06-01,81614986.85,0.077806,0.077806,4,3388720.185,2
2012,000002,2012-06-01,86086890.74,-0.036757,-0.036757,4,2520976.5300000003,2
2013,000002,2013-06-01,95172620.52,-0.177796,-0.177796,4,2494599.06,2
2014,000002,2014-06-01,79986721.25,-0.032749,-0.032749,4,3496611.82,2
2015,000002,2015-06-01,141101230.99,0.011847,0.011847,4,8414587.47,2
2017,000002,2017-06-01,242435421.94,0.174506,0.174506,4,5528310.125,2
2018,000002,2018-06-01,238993183.06,-0.038687,-0.038687,4,4026835.105,2
2019,000002,2019-06-01,270178878.9,0.041573,0.041573,4,4378639.125,2
2020,000002,2020-06-01,253954544.92,0.017121,0.017121,4,4823275.33,2
2006,000004,2006-06-01,199953.56,0.016949,0.016949,4,666109.13,1
2007,000004,2007-06-01,342528.24,-0.379412,-0.379412,4,1683360.0,1
2008,000004,2008-06-01,309674.94,-0.314038,-0.314038,4,1378859.24,1
2009,000004,2009-06-01,568786.95,0.189706,0.189706,4,2142864.36,1
2010,000004,2010-06-01,592691.47,-0.063333,-0.063333,4,2400832.35,1
2011,000004,2011-06-01,1029173.05,-0.000814,-0.000814,4,3388720.185,1
2012,000004,2012-06-01,710425.14,-0.097977,-0.097977,4,2520976.5300000003,1
2013,000004,2013-06-01,838754.59,-0.147485,-0.147485,4,2494599.06,1
2014,000004,2014-06-01,1164191.37,0.055513,0.055513,4,3496611.82,1
2015,000004,2015-06-01,3229205.17,0.138716,0.138716,4,8414587.47,1
2017,000004,2017-06-01,2128018.49,-0.2875,-0.2875,4,5528310.125,1
2018,000004,2018-06-01,1627058.41,-0.13082,-0.13082,4,4026835.105,1
2019,000004,2019-06-01,1759851.18,-0.013023,-0.013023,4,4378639.125,1
2020,000004,2020-06-01,2504193.21,0.033241,0.033241,4,4823275.33,1
2006,000005,2006-06-01,1503277.46,0.148571,0.148571,4,666109.13,2
2008,000005,2008-06-01,2783312.67,-0.192389,-0.192389,4,1378859.24,2
2009,000005,2009-06-01,3056615.73,0.03202,0.03202,4,2142864.36,2
2010,000005,2010-06-01,3499635.72,-0.12156,-0.12156,4,2400832.35,2
2012,000005,2012-06-01,2750366.45,-0.147309,-0.147309,4,2520976.5300000003,2
2013,000005,2013-06-01,2083334.06,-0.170909,-0.170909,4,2494599.06,1
2014,000005,2014-06-01,2065059.2,0.004444,0.004444,4,3496611.82,1
2015,000005,2015-06-01,8388160.8,-0.419722,-0.419722,4,8414587.47,1
2016,000005,2016-06-01,6889622.27,0.084892,0.084892,4,6419702.33,2
2017,000005,2017-06-01,4984405.69,0.007692,0.007692,4,5528310.125,1
2018,000005,2018-06-01,2815618.48,-0.139535,-0.139535,4,4026835.105,1
2019,000005,2019-06-01,3216156.58,0.0033,0.0033,4,4378639.125,1
2020,000005,2020-06-01,2782398.62,0.023346,0.023346,4,4823275.33,1
2006,000006,2006-06-01,1503403.49,0.020248,0.017544,4,666109.13,2
2007,000006,2007-06-01,5443212.09,-0.063205,-0.063205,4,1683360.0,2
2008,000006,2008-06-01,3562014.87,-0.33391,-0.33391,4,1378859.24,2
2009,000006,2009-06-01,6561743.34,0.167346,0.16696,4,2142864.36,2
2010,000006,2010-06-01,3823071.82,-0.054945,-0.054945,4,2400832.35,2
2011,000006,2011-06-01,5623207.18,0.08024,0.079858,4,3388720.185,2
2012,000006,2012-06-01,5557890.18,-0.066993,-0.066993,4,2520976.5300000003,2
2013,000006,2013-06-01,5691159.51,-0.085447,-0.0854,4,2494599.06,2
2014,000006,2014-06-01,6132148.91,0.005023,0.005308,4,3496611.82,2
2015,000006,2015-06-01,18203984.02,-0.123528,-0.122564,4,8414587.47,2
2016,000006,2016-06-01,9913765.73,0.01522,0.014905,4,6419702.33,2
2017,000006,2017-06-01,11848427.12,0.071685,0.071514,4,5528310.125,2
2018,000006,2018-06-01,7900847.01,-0.12885,-0.128283,4,4026835.105,2
2019,000006,2019-06-01,7345434.67,0.028168,0.028233,4,4378639.125,2
2020,000006,2020-06-01,9181977.29,0.45762,0.453015,4,4823275.33,2
2006,000007,2006-06-01,286419.46,0.049563,0.049563,4,666109.13,1
2007,000007,2007-06-01,557499.56,-0.43849,-0.43849,4,1683360.0,1
2008,000007,2008-06-01,1101617.03,-0.215464,-0.215464,4,1378859.24,1
2009,000007,2009-06-01,796175.25,0.120163,0.120163,4,2142864.36,1
2010,000007,2010-06-01,1302156.16,0.001422,0.001422,4,2400832.35,1
2011,000007,2011-06-01,1474173.94,0.01788,0.01788,4,3388720.185,1
2012,000007,2012-06-01,2744885.99,-0.054777,-0.054777,4,2520976.5300000003,2
2013,000007,2013-06-01,2449019.23,-0.220129,-0.220129,4,2494599.06,1
2018,000007,2018-06-01,4136814.31,-0.017608,-0.017608,4,4026835.105,2
2019,000007,2019-06-01,2110115.14,-0.043417,-0.043417,4,4378639.125,1
2020,000007,2020-06-01,2697116.42,0.065934,0.065934,4,4823275.33,1
2006,000008,2006-06-01,208355.1,-0.01006,-0.01006,4,666109.13,1
2007,000008,2007-06-01,305970.53,-0.351984,-0.351984,4,1683360.0,1
2008,000008,2008-06-01,274610.42,-0.25838,-0.25838,4,1378859.24,1
2009,000008,2009-06-01,444237.95,0.244928,0.244928,4,2142864.36,1
2010,000008,2010-06-01,510951.21,-0.281977,-0.281977,4,2400832.35,1
2011,000008,2011-06-01,911825.6,0.096546,0.096546,4,3388720.185,1
2012,000008,2012-06-01,841855.14,0.127219,0.127219,4,2520976.5300000003,1
2013,000008,2013-06-01,1210857.26,-0.057339,-0.057339,4,2494599.06,1
2014,000008,2014-06-01,1237372.38,-0.04,-0.04,4,3496611.82,1
2016,000008,2016-06-01,16279892.71,-0.057958,-0.057958,4,6419702.33,2
2017,000008,2017-06-01,14633365.44,0.028242,0.028209,4,5528310.125,2
2018,000008,2018-06-01,12808258.27,-0.102151,-0.102151,4,4026835.105,2
2019,000008,2019-06-01,9751547.65,-0.007874,-0.007874,4,4378639.125,2
2020,000008,2020-06-01,7835974.41,-0.016722,-0.016722,4,4823275.33,2
2006,000009,2006-06-01,2104408.47,0.080357,0.080357,4,666109.13,2
2007,000009,2007-06-01,6724831.46,-0.119879,-0.119879,4,1683360.0,2
2008,000009,2008-06-01,3633093.94,-0.336512,-0.336512,4,1378859.24,2
2009,000009,2009-06-01,11155985.12,0.175421,0.175421,4,2142864.36,2
2010,000009,2010-06-01,9213170.82,-0.126904,-0.126904,4,2400832.35,2
2011,000009,2011-06-01,18524181.08,0.061652,0.061652,4,3388720.185,2
2012,000009,2012-06-01,10794376.9,-0.125874,-0.125874,4,2520976.5300000003,2
2013,000009,2013-06-01,11874173.69,-0.151889,-0.151889,4,2494599.06,2
2015,000009,2015-06-01,24296502.4,-0.193373,-0.193373,4,8414587.47,2
2016,000009,2016-06-01,21305689.26,0.068643,0.068643,4,6419702.33,2
2017,000009,2017-06-01,17151330.14,0.10068,0.10068,4,5528310.125,2
2018,000009,2018-06-01,10387333.93,-0.144852,-0.144852,4,4026835.105,2
2019,000009,2019-06-01,12103995.57,-0.013817,-0.013817,4,4378639.125,2
2020,000009,2020-06-01,21648051.84,0.233333,0.233333,4,4823275.33,2
2006,000010,2006-06-01,213550.61,0.166667,0.166667,4,666109.13,1
2007,000010,2007-06-01,582349.14,-0.354135,-0.354135,4,1683360.0,1
2008,000010,2008-06-01,673870.83,0.020534,0.020534,4,1378859.24,1
2009,000010,2009-06-01,606754.92,-0.027174,-0.027174,4,2142864.36,1
2012,000010,2012-06-01,935555.07,0.090909,0.090909,4,2520976.5300000003,1
2014,000010,2014-06-01,1781622.27,0.253817,0.253817,4,3496611.82,1
2015,000010,2015-06-01,3871682.01,-0.380516,-0.380516,4,8414587.47,1
2016,000010,2016-06-01,3194091.31,0.011628,0.011628,4,6419702.33,1
2017,000010,2017-06-01,2636966.06,0.014056,0.014056,4,5528310.125,1
2018,000010,2018-06-01,2041690.56,0.10452,0.10452,4,4026835.105,1
2019,000010,2019-06-01,1728383.85,-0.034985,-0.034985,4,4378639.125,1
2020,000010,2020-06-01,1984251.69,-0.052369,-0.052369,4,4823275.33,1
2006,000011,2006-06-01,479804.33,0.005747,0.005747,4,666109.13,1
2007,000011,2007-06-01,1100351.25,-0.098802,-0.098802,4,1683360.0,1
2008,000011,2008-06-01,551089.54,-0.247191,-0.247191,4,1378859.24,1
2009,000011,2009-06-01,806070.38,-0.008989,-0.008989,4,2142864.36,1
2010,000011,2010-06-01,1131872.11,0.139241,0.139241,4,2400832.35,1
2011,000011,2011-06-01,1733061.43,0.149197,0.149197,4,3388720.185,1
2012,000011,2012-06-01,1085757.04,-0.034839,-0.034839,4,2520976.5300000003,1
2013,000011,2013-06-01,1393572.4,-0.086406,-0.086406,4,2494599.06,1
2014,000011,2014-06-01,1180038.22,0.011389,0.01016,4,3496611.82,1
2015,000011,2015-06-01,2620353.13,-0.162945,-0.16,4,8414587.47,1
2016,000011,2016-06-01,2354800.56,0.062698,0.062698,4,6419702.33,1
2017,000011,2017-06-01,3517252.52,0.116695,0.116695,4,5528310.125,1
2018,000011,2018-06-01,1946799.27,-0.161505,-0.161504,4,4026835.105,1
2019,000011,2019-06-01,1679488.08,-0.001046,-0.001046,4,4378639.125,1
2020,000011,2020-06-01,8423608.69,0.685985,0.685985,4,4823275.33,2
2006,000012,2006-06-01,1862886.25,-0.159181,-0.159615,4,666109.13,2
2007,000012,2007-06-01,5096113.84,-0.083513,-0.078378,4,1683360.0,2
2008,000012,2008-06-01,7994161.04,-0.203674,-0.202983,4,1378859.24,2
2009,000012,2009-06-01,8881460.87,-0.131856,-0.131856,4,2142864.36,2
2010,000012,2010-06-01,8978305.33,-0.225233,-0.225233,4,2400832.35,2
2011,000012,2011-06-01,21282231.04,0.055283,0.054443,4,3388720.185,2
2012,000012,2012-06-01,11764682.12,-0.087221,-0.087221,4,2520976.5300000003,2
2013,000012,2013-06-01,12084757.54,-0.160326,-0.160326,4,2494599.06,2
2014,000012,2014-06-01,8897909.34,-0.046089,-0.046089,4,3496611.82,2
2015,000012,2015-06-01,17376045.37,-0.13991,-0.13991,4,8414587.47,2
2016,000012,2016-06-01,14944664.0,0.037104,0.037104,4,6419702.33,2
2017,000012,2017-06-01,12130200.58,0.050676,0.050676,4,5528310.125,2
2018,000012,2018-06-01,8592278.83,-0.154227,-0.154271,4,4026835.105,2
2019,000012,2019-06-01,8129528.84,-0.007474,-0.007296,4,4378639.125,2
2020,000012,2020-06-01,9824437.99,0.103297,0.103297,4,4823275.33,2
2006,000014,2006-06-01,443358.4,0.002597,0.002597,4,666109.13,1
2007,000014,2007-06-01,1470027.59,0.05791,0.05791,4,1683360.0,1
2008,000014,2008-06-01,1479840.86,-0.183983,-0.183983,4,1378859.24,2
2009,000014,2009-06-01,2987235.08,0.010922,0.010922,4,2142864.36,2
2010,000014,2010-06-01,1982752.66,-0.070009,-0.070009,4,2400832.35,1
2011,000014,2011-06-01,1609607.39,0.003774,0.003774,4,3388720.185,1
2012,000014,2012-06-01,1956540.31,0.316089,0.315291,4,2520976.5300000003,1
2013,000014,2013-06-01,1694323.57,-0.158458,-0.158342,4,2494599.06,1
2014,000014,2014-06-01,2025120.08,0.10033,0.100109,4,3496611.82,1
2015,000014,2015-06-01,4834873.33,0.057976,0.058183,4,8414587.47,1
2016,000014,2016-06-01,3735580.06,0.006513,0.006345,4,6419702.33,1
2017,000014,2017-06-01,3396715.35,-0.00626,-0.006191,4,5528310.125,1
2018,000014,2018-06-01,3092140.52,0.159492,0.159486,4,4026835.105,1
2019,000014,2019-06-01,1942420.95,-0.001378,-0.001442,4,4378639.125,1
2020,000014,2020-06-01,2182450.12,0.250915,0.250693,4,4823275.33,1
2006,000016,2006-06-01,1129385.09,0.010025,0.010025,4,666109.13,2
2007,000016,2007-06-01,2213931.06,-0.164021,-0.164021,4,1683360.0,2
2008,000016,2008-06-01,2249662.54,-0.301026,-0.301025,4,1378859.24,2
2009,000016,2009-06-01,2951550.93,-0.062857,-0.062857,4,2142864.36,2
2010,000016,2010-06-01,2855571.65,-0.089866,-0.089866,4,2400832.35,2
2011,000016,2011-06-01,2633604.94,-0.03304,-0.03304,4,3388720.185,1
2012,000016,2012-06-01,2231659.1,-0.03125,-0.03125,4,2520976.5300000003,1
2013,000016,2013-06-01,1811743.18,-0.116808,-0.116618,4,2494599.06,1
2014,000016,2014-06-01,2663622.42,0.09901,0.09901,4,3496611.82,1
2015,000016,2015-06-01,18099434.34,0.257083,0.257083,4,8414587.47,2
2016,000016,2016-06-01,7679616.18,-0.026316,-0.026316,4,6419702.33,2
2017,000016,2017-06-01,7807343.68,0.063043,0.063043,4,5528310.125,2
2018,000016,2018-06-01,8382015.08,0.00352,0.004082,4,4026835.105,2
2019,000016,2019-06-01,6705612.06,-0.030023,-0.030023,4,4378639.125,2
2020,000016,2020-06-01,10792842.27,0.028919,0.028919,4,4823275.33,2
2006,000018,2006-06-01,114984.03,0.037135,0.037135,4,666109.13,1
2007,000018,2007-06-01,226419.28,-0.374506,-0.374506,4,1683360.0,1
2008,000018,2008-06-01,246852.3,-0.374026,-0.374026,4,1378859.24,1
2009,000018,2009-06-01,722973.28,0.16,0.16,4,2142864.36,1
2010,000018,2010-06-01,648182.94,-0.097222,-0.097222,4,2400832.35,1
2011,000018,2011-06-01,722973.28,0.0,0.0,4,3388720.185,1
2012,000018,2012-06-01,590345.08,-0.03268,-0.03268,4,2520976.5300000003,1
2013,000018,2013-06-01,880531.6,-0.070526,-0.070526,4,2494599.06,1
2014,000018,2014-06-01,1041081.53,0.063136,0.063136,4,3496611.82,1
2015,000018,2015-06-01,3290774.95,-0.34,-0.34,4,8414587.47,1
2016,000018,2016-06-01,4602203.2,0.016171,0.016172,4,6419702.33,1
2017,000018,2017-06-01,5703283.19,-0.029487,-0.029487,4,5528310.125,2
2018,000018,2018-06-01,2500412.66,-0.439189,-0.439189,4,4026835.105,1
2019,000018,2019-06-01,1363951.06,-0.074324,-0.074324,4,4378639.125,1
2006,000019,2006-06-01,314794.0,0.067751,0.067751,4,666109.13,1
2008,000019,2008-06-01,779404.42,-0.22971,-0.22971,4,1378859.24,1
2009,000019,2009-06-01,629095.95,0.073842,0.073842,4,2142864.36,1
2010,000019,2010-06-01,1059249.31,-0.117647,-0.117647,4,2400832.35,1
2011,000019,2011-06-01,1441991.39,-0.027619,-0.027619,4,3388720.185,1
2012,000019,2012-06-01,1221667.53,-0.237885,-0.237885,4,2520976.5300000003,1
2013,000019,2013-06-01,1439365.2,-0.165687,-0.165687,4,2494599.06,1
2014,000019,2014-06-01,1610467.2,0.067742,0.067742,4,3496611.82,1
2015,000019,2015-06-01,3834235.99,-0.190628,-0.190628,4,8414587.47,1
2016,000019,2016-06-01,5127745.39,0.232727,0.232727,4,6419702.33,1
2017,000019,2017-06-01,5062288.89,0.203897,0.204032,4,5528310.125,1
2018,000019,2018-06-01,4026537.1,0.024339,0.024339,4,4026835.105,1
2019,000019,2019-06-01,2974146.73,-0.000153,0.0,4,4378639.125,1
2020,000019,2020-06-01,3346379.91,-0.016284,-0.016706,4,4823275.33,1
2006,000020,2006-06-01,215397.53,-0.032828,-0.032828,4,666109.13,1
2007,000020,2007-06-01,409820.76,-0.366,-0.366,4,1683360.0,1
2009,000020,2009-06-01,413923.18,0.04065,0.04065,4,2142864.36,1
2010,000020,2010-06-01,508349.41,-0.20203,-0.20203,4,2400832.35,1
2011,000020,2011-06-01,530985.83,-0.007255,-0.007255,4,3388720.185,1
2012,000020,2012-06-01,464370.07,-0.078306,-0.078306,4,2520976.5300000003,1
2013,000020,2013-06-01,347954.17,-0.184848,-0.184848,4,2494599.06,1
2014,000020,2014-06-01,519344.24,0.060766,0.060766,4,3496611.82,1
2015,000020,2015-06-01,1812854.18,0.353452,0.353452,4,8414587.47,1
2016,000020,2016-06-01,3934912.29,0.077381,0.077381,4,6419702.33,1
2018,000020,2018-06-01,2561678.63,-0.049092,-0.049092,4,4026835.105,1
2019,000020,2019-06-01,1978326.07,-0.024129,-0.024129,4,4378639.125,1
2020,000020,2020-06-01,2077967.03,0.180041,0.180041,4,4823275.33,1
2006,000021,2006-06-01,2730300.43,0.068673,0.0662,4,666109.13,2
2007,000021,2007-06-01,5315984.59,-0.133487,-0.128881,4,1683360.0,2
2008,000021,2008-06-01,2466245.57,-0.311115,-0.305583,4,1378859.24,2
2009,000021,2009-06-01,9840280.09,0.03582,0.035584,4,2142864.36,2
2010,000021,2010-06-01,13956504.4,0.046513,0.047201,4,2400832.35,2
2011,000021,2011-06-01,10912167.74,-0.028858,-0.029919,4,3388720.185,2
2012,000021,2012-06-01,7090273.24,-0.089824,-0.089701,4,2520976.5300000003,2
2013,000021,2013-06-01,5864355.87,-0.221894,-0.221254,4,2494599.06,2
2014,000021,2014-06-01,7775213.4,0.110251,0.110075,4,3496611.82,2
2015,000021,2015-06-01,22414669.02,0.019462,0.02,4,8414587.47,2
2016,000021,2016-06-01,16182656.13,0.2922,0.290548,4,6419702.33,2
2017,000021,2017-06-01,12611047.57,0.021343,0.021302,4,5528310.125,2
2018,000021,2018-06-01,10021322.08,-0.142104,-0.142322,4,4026835.105,2
2019,000021,2019-06-01,11945872.93,-0.090808,-0.090608,4,4378639.125,2
2020,000021,2020-06-01,32075409.81,-0.027674,-0.027543,4,4823275.33,2
2006,000022,2006-06-01,1295377.63,-0.030544,-0.03022,4,666109.13,2
2007,000022,2007-06-01,2484607.57,-0.031136,-0.031136,4,1683360.0,2
2008,000022,2008-06-01,1953676.0,-0.140915,-0.140915,4,1378859.24,2
2009,000022,2009-06-01,6553536.25,0.09472,0.09472,4,2142864.36,2
2010,000022,2010-06-01,5363674.35,-0.075321,-0.075321,4,2400832.35,2
2011,000022,2011-06-01,6502409.37,-0.016866,-0.016866,4,3388720.185,2
2012,000022,2012-06-01,5094096.26,0.048804,0.048804,4,2520976.5300000003,2
2013,000022,2013-06-01,4852405.56,-0.204268,-0.204268,4,2494599.06,2
2014,000022,2014-06-01,6033977.87,0.000771,0.000771,4,3496611.82,2
2016,000022,2016-06-01,7326288.95,0.012203,0.012203,4,6419702.33,2
2017,000022,2017-06-01,13829764.99,0.198147,0.198147,4,5528310.125,2
2006,000023,2006-06-01,234745.16,-0.007673,-0.007673,4,666109.13,1
2007,000023,2007-06-01,551772.13,-0.361734,-0.361538,4,1683360.0,1
2008,000023,2008-06-01,323718.89,-0.264931,-0.264931,4,1378859.24,1
2009,000023,2009-06-01,586852.26,0.125535,0.125535,4,2142864.36,1
2010,000023,2010-06-01,671638.82,-0.15212,-0.15212,4,2400832.35,1
2011,000023,2011-06-01,863253.42,0.07371,0.07371,4,3388720.185,1
2012,000023,2012-06-01,686105.9,-0.066187,-0.066187,4,2520976.5300000003,1
2013,000023,2013-06-01,858901.13,-0.109297,-0.108883,4,2494599.06,1
2014,000023,2014-06-01,1277944.97,-0.004324,-0.004324,4,3496611.82,1
2015,000023,2015-06-01,3468906.0,-0.031383,-0.031383,4,8414587.47,1
2016,000023,2016-06-01,3579910.99,-0.091229,-0.091229,4,6419702.33,1
2017,000023,2017-06-01,3754743.85,0.224434,0.224434,4,5528310.125,1
2018,000023,2018-06-01,1849620.68,-0.174102,-0.174102,4,4026835.105,1
2019,000023,2019-06-01,1770529.62,-0.037707,-0.037707,4,4378639.125,1
2020,000023,2020-06-01,2245075.96,-0.02706,-0.02706,4,4823275.33,1
2006,000024,2006-06-01,2571195.25,-0.147847,-0.147847,4,666109.13,2
2007,000024,2007-06-01,15572219.08,-0.088885,-0.088885,4,1683360.0,2
2008,000024,2008-06-01,7107987.35,-0.179572,-0.179572,4,1378859.24,2
2009,000024,2009-06-01,20524292.01,0.14625,0.145683,4,2142864.36,2
2010,000024,2010-06-01,9618943.78,-0.036893,-0.036893,4,2400832.35,2
2011,000024,2011-06-01,12520992.6,0.119315,0.118397,4,3388720.185,2
2012,000024,2012-06-01,16785533.03,-0.026587,-0.026587,4,2520976.5300000003,2
2013,000024,2013-06-01,16614017.21,-0.151049,-0.151049,4,2494599.06,2
2014,000024,2014-06-01,10694030.84,-0.09028,-0.088801,4,3496611.82,2
2006,000025,2006-06-01,196790.73,-0.098901,-0.098901,4,666109.13,1
2008,000025,2008-06-01,266461.27,-0.296578,-0.296578,4,1378859.24,1
2009,000025,2009-06-01,1665646.31,0.420489,0.420489,4,2142864.36,1
2010,000025,2010-06-01,1565241.37,-0.144118,-0.144118,4,2400832.35,1
2011,000025,2011-06-01,1846733.8,-0.088496,-0.088496,4,3388720.185,1
2012,000025,2012-06-01,1181551.04,-0.107046,-0.107046,4,2520976.5300000003,1
2013,000025,2013-06-01,1032736.57,-0.12462,-0.12462,4,2494599.06,1
2014,000025,2014-06-01,1708677.0,-0.082772,-0.082772,4,3496611.82,1
2015,000025,2015-06-01,3704225.28,-0.160504,-0.160504,4,8414587.47,1
2016,000025,2016-06-01,13253452.69,0.292534,0.292534,4,6419702.33,2
2017,000025,2017-06-01,10031433.98,0.489349,0.489349,4,5528310.125,2
2018,000025,2018-06-01,8714261.07,-0.074777,-0.074777,4,4026835.105,2
2019,000025,2019-06-01,7941977.63,-0.023188,-0.023188,4,4378639.125,2
2020,000025,2020-06-01,7199626.61,0.038527,0.038527,4,4823275.33,2
2006,000026,2006-06-01,382971.92,0.065217,0.065217,4,666109.13,1
2007,000026,2007-06-01,964343.73,-0.108889,-0.108889,4,1683360.0,1
2008,000026,2008-06-01,676149.28,-0.230123,-0.230081,4,1378859.24,1
2009,000026,2009-06-01,674558.34,0.041769,0.041769,4,2142864.36,1
2010,000026,2010-06-01,1017405.8,-0.023664,-0.023664,4,2400832.35,1
2011,000026,2011-06-01,1726169.34,0.148148,0.148148,4,3388720.185,1
2012,000026,2012-06-01,1606806.99,-0.031111,-0.030973,4,2520976.5300000003,1
2013,000026,2013-06-01,959641.41,-0.251732,-0.251732,4,2494599.06,1
2014,000026,2014-06-01,2544553.72,0.063719,0.063719,4,3496611.82,1
2015,000026,2015-06-01,5537048.44,-0.223724,-0.223724,4,8414587.47,1
2016,000026,2016-06-01,3555531.67,0.063237,0.062673,4,6419702.33,1
2017,000026,2017-06-01,4441666.52,0.029616,0.029557,4,5528310.125,1
2018,000026,2018-06-01,3146238.37,-0.153551,-0.153551,4,4026835.105,1
2019,000026,2019-06-01,2771686.18,-0.016456,-0.016456,4,4378639.125,1
2020,000026,2020-06-01,3185477.17,0.068182,0.068182,4,4823275.33,1
2006,000027,2006-06-01,4474985.38,0.151989,0.151989,4,666109.13,2
2007,000027,2007-06-01,13534411.51,0.205305,0.205305,4,1683360.0,2
2008,000027,2008-06-01,4998739.47,-0.268827,-0.268827,4,1378859.24,2
2009,000027,2009-06-01,6681013.93,0.048872,0.048872,4,2142864.36,2
2010,000027,2010-06-01,5699216.18,-0.093333,-0.093333,4,2400832.35,2
2011,000027,2011-06-01,19928177.76,-0.057082,-0.056907,4,3388720.185,2
2012,000027,2012-06-01,17100173.76,0.006796,0.007669,4,2520976.5300000003,2
2013,000027,2013-06-01,4820500.37,-0.143101,-0.143101,4,2494599.06,2
2014,000027,2014-06-01,5385926.86,0.005367,0.005367,4,3496611.82,2
2015,000027,2015-06-01,17753433.29,-0.021426,-0.019634,4,8414587.47,2
2016,000027,2016-06-01,25293456.39,0.010801,0.010753,4,6419702.33,2
2017,000027,2017-06-01,26681028.45,0.033066,0.033033,4,5528310.125,2
2018,000027,2018-06-01,19584588.49,-0.128501,-0.128472,4,4026835.105,2
2019,000027,2019-06-01,24579847.9,0.050817,0.05042,4,4378639.125,2
2020,000027,2020-06-01,22074289.21,0.021737,0.021455,4,4823275.33,2
2006,000028,2006-06-01,461642.78,0.139085,0.139085,4,666109.13,1
2007,000028,2007-06-01,1156701.74,-0.23827,-0.23827,4,1683360.0,1
2008,000028,2008-06-01,2440792.96,-0.092171,-0.092171,4,1378859.24,2
2009,000028,2009-06-01,4408567.01,0.075369,0.075269,4,2142864.36,2
2010,000028,2010-06-01,6671209.86,-0.093743,-0.093493,4,2400832.35,2
2011,000028,2011-06-01,6022749.6,-0.115253,-0.11528,4,3388720.185,2
2012,000028,2012-06-01,6946455.58,0.187806,0.187376,4,2520976.5300000003,2
2013,000028,2013-06-01,6512626.6,-0.111213,-0.110759,4,2494599.06,2
2014,000028,2014-06-01,9318809.39,0.034974,0.034974,4,3496611.82,2
2015,000028,2015-06-01,17380337.61,-0.138613,-0.138613,4,8414587.47,2
2016,000028,2016-06-01,15185343.96,-0.001534,-0.001534,4,6419702.33,2
2017,000028,2017-06-01,24896518.32,0.083207,0.083067,4,5528310.125,2
2018,000028,2018-06-01,15356443.31,-0.040589,-0.040336,4,4026835.105,2
2019,000028,2019-06-01,12872946.37,-0.013415,-0.013779,4,4378639.125,2
2020,000028,2020-06-01,16551690.46,0.130738,0.1312,4,4823275.33,2
2006,000029,2006-06-01,899250.74,-0.004843,-0.004843,4,666109.13,2
2007,000029,2007-06-01,1896426.75,-0.247059,-0.247059,4,1683360.0,2
2008,000029,2008-06-01,1045196.92,-0.310835,-0.310835,4,1378859.24,1
2009,000029,2009-06-01,4609853.51,0.031936,0.031936,4,2142864.36,2
2010,000029,2010-06-01,3950053.8,-0.084711,-0.084711,4,2400832.35,2
2011,000029,2011-06-01,4565299.2,0.044898,0.044898,4,3388720.185,2
2012,000029,2012-06-01,3334808.4,-0.085575,-0.085575,4,2520976.5300000003,2
2013,000029,2013-06-01,2933561.4,-0.143229,-0.143229,4,2494599.06,2
2014,000029,2014-06-01,3361558.2,-0.005277,-0.005277,4,3496611.82,1
2015,000029,2015-06-01,12010660.2,-0.198214,-0.198214,4,8414587.47,2
2016,000029,2016-06-01,9273264.0,0.016618,0.016618,4,6419702.33,2
2006,000030,2006-06-01,75688.8,0.05618,0.05618,4,666109.13,1
2009,000030,2009-06-01,307961.65,0.2,0.2,4,2142864.36,1
2012,000030,2012-06-01,1182456.1,-0.130952,-0.130952,4,2520976.5300000003,1
2013,000030,2013-06-01,1030317.66,-0.299371,-0.299371,4,2494599.06,1
2014,000030,2014-06-01,3203848.39,0.036392,0.036392,4,3496611.82,1
