code,year,date,circulate,return1,return2,type,BE,BM_ratio
000002,2006,2006-12-01,50245691.29,0.288815,0.288815,4,17005996136.02,0.3384568049400998
000069,2006,2006-12-01,10782128.65,0.143377,0.143377,4,3652432165.64,0.3387487094804791
600505,2006,2006-12-01,437629.5,0.153425,0.153425,1,150194872.44,0.3432009780876289
600797,2006,2006-12-01,4115985.25,0.311111,0.311111,1,1417505854.4,0.3443904116031514
000578,2006,2006-12-01,257979.47,0.027397,0.027397,4,89370477.26,0.34642476496288643
000762,2006,2006-12-01,1569732.82,0.072853,0.072853,4,545796926.59,0.3477005256155631
000567,2006,2006-12-01,295596.0,-0.07565,-0.07565,4,104177739.36,0.35243284537003206
000851,2006,2006-12-01,879320.52,-0.042763,-0.042763,4,310187231.68,0.3527578677226821
000537,2006,2006-12-01,1702247.72,0.233202,0.233202,4,602985155.92,0.3542287933979433
600501,2006,2006-12-01,1732320.0,-0.170345,-0.170345,1,615047744.62,0.35504280076429295
000533,2006,2006-12-01,1277234.11,0.418552,0.418552,4,458281017.21,0.3588073741704252
000402,2006,2006-12-01,10985262.63,0.229927,0.229927,4,3996058356.72,0.3637653910801402
600125,2006,2006-12-01,3298652.78,0.052163,0.052163,1,1202119466.32,0.3644274030927256
600779,2006,2006-12-01,3210383.17,0.162234,0.162234,1,1170440010.6,0.36457953727685405
600770,2006,2006-12-01,2070643.5,-0.105342,-0.105342,1,755654383.9,0.36493697920477375
000777,2006,2006-12-01,822395.03,0.195876,0.195876,4,303546216.22,0.3691002561384643
600066,2006,2006-12-01,3682634.83,0.314371,0.314371,1,1362309337.47,0.36992789140323207
000862,2006,2006-12-01,442217.11,-0.055556,-0.055556,4,163939090.11,0.3707208210690898
600765,2006,2006-12-01,462403.5,-0.115021,-0.115021,1,171672578.86,0.37126141748494557
000819,2006,2006-12-01,927436.25,-0.031556,-0.031556,4,344423672.06,0.37137180270881154
600859,2006,2006-12-01,4820600.61,0.527894,0.513304,1,1797658066.85,0.3729116374256111
600570,2006,2006-12-01,1022574.77,0.188776,0.188776,1,381695485.19,0.3732690228510136
000838,2006,2006-12-01,252895.5,0.392271,0.392271,4,94471293.29,0.37355861725495315
600693,2006,2006-12-01,1060945.34,0.332667,0.332667,1,398335304.66,0.37545318278131085
000759,2006,2006-12-01,2454391.96,0.183206,0.183206,4,926817446.71,0.3776159072449048
600880,2006,2006-12-01,1344824.78,0.022183,0.022183,1,512073738.04,0.3807735741157298
600809,2006,2006-12-01,3160666.91,0.361001,0.361001,1,1205813690.8,0.38150609511712197
000803,2006,2006-12-01,315370.88,0.157025,0.157025,4,121803228.28,0.38622217840784795
600596,2006,2006-12-01,2944340.45,0.143396,0.143396,1,1144700355.1,0.38877988960142157
600150,2006,2006-12-01,3232152.0,0.175601,0.175601,1,1266624830.4299998,0.39188281690650684
002025,2006,2006-12-01,1383507.49,-0.045195,-0.045195,4,548516178.33,0.39646780541101373
600495,2006,2006-12-01,1165958.6,0.294593,0.294593,1,471061559.66,0.40401225194445156
600406,2006,2006-12-01,2103114.0,0.193053,0.193053,1,849702286.63,0.4040210310187655
000008,2006,2006-12-01,176593.65,-0.050114,-0.050114,4,71529785.43,0.40505298706946713
000858,2006,2006-12-01,20407895.49,0.37485,0.37485,4,8295168514.64,0.40646859048767114
600685,2006,2006-12-01,2843132.68,0.164474,0.164474,1,1161318364.52,0.40846435788568264
600628,2006,2006-12-01,3555146.57,0.182432,0.182432,1,1461412164.63,0.4110694554655169
600361,2006,2006-12-01,3692091.0,0.184103,0.184103,1,1524165688.27,0.4128191012274616
000605,2006,2006-12-01,131356.5,0.088312,0.088312,4,54555287.0,0.4153223251228527
600784,2006,2006-12-01,817434.0,0.364548,0.364548,1,343457093.34,0.4201649225992557
000528,2006,2006-12-01,4494301.33,0.212766,0.212766,4,1893221487.63,0.42124934413999343
002028,2006,2006-12-01,1191221.02,0.177096,0.177096,4,502871185.34,0.4221476761214304
600067,2006,2006-12-01,1913703.77,-0.039735,-0.039735,1,809952533.7,0.4232381972576665
000503,2006,2006-12-01,3334175.8,-0.08896,-0.08896,4,1411595055.67,0.4233715137846061
600694,2006,2006-12-01,6210103.41,-0.141146,-0.141146,1,2629293694.5,0.42338967983465514
600460,2006,2006-12-01,1569257.02,-0.076843,-0.076843,1,666940271.78,0.42500384785916073
600037,2006,2006-12-01,8626573.04,0.233135,0.233135,1,3670340864.82,0.42546916925194206
600645,2006,2006-12-01,428938.92,0.181081,0.181081,1,184042821.14,0.4290653343837393
600109,2006,2006-12-01,493226.5,0.348348,0.348348,1,212762069.29,0.43136787924006514
600881,2006,2006-12-01,6383937.99,0.605201,0.605201,1,2760431438.39,0.4324026083451979
000987,2006,2006-12-01,1955143.62,0.167808,0.167808,4,852190464.72,0.435871030650935
600458,2006,2006-12-01,881244.0,0.04129,0.04129,1,384211734.92,0.43598791585531366
600888,2006,2006-12-01,1146270.5,-0.017479,-0.017479,1,500784055.03,0.43688122047108424
000801,2006,2006-12-01,313104.14,0.182365,0.182365,4,136822460.11,0.43698706797680803
001696,2006,2006-12-01,1019600.28,0.256443,0.256443,4,446114993.7,0.43753910473622076
600525,2006,2006-12-01,1168981.66,0.32381,0.32381,1,511716238.2,0.43774530919501337
600832,2006,2006-12-01,9829670.21,0.004394,0.004394,1,4310090948.14,0.43847767585887304
002046,2006,2006-12-01,677459.25,0.032934,0.032934,4,297313853.13,0.43886603235545163
600489,2006,2006-12-01,2415360.0,-0.09366,-0.09366,1,1062160001.79,0.4397522529933426
600299,2006,2006-12-01,2851680.0,0.082938,0.082938,1,1255942875.99,0.4404220936395388
000637,2006,2006-12-01,1593562.58,0.223013,0.223013,4,702668189.08,0.44094169748890566
000680,2006,2006-12-01,3701193.51,0.19242,0.19242,4,1634997484.88,0.44174871712665464
600456,2006,2006-12-01,4218480.0,0.111908,0.111908,1,1880009647.89,0.4456604388049724
600761,2006,2006-12-01,3962199.92,0.267084,0.267084,1,1776740788.54,0.4484228015783716
000970,2006,2006-12-01,2673699.84,0.15125,0.15125,4,1201880537.16,0.4495196204073529
600383,2006,2006-12-01,7900200.0,0.270977,0.270977,1,3562777472.85,0.4509730731943495
600660,2006,2006-12-01,6266209.74,0.191129,0.191129,1,2827897240.0,0.4512931033808645
600315,2006,2006-12-01,1885923.53,0.062716,0.062716,1,855760559.23,0.4537620670282427
000612,2006,2006-12-01,2305337.66,0.098039,0.098039,4,1046948840.64,0.454141212719355
000790,2006,2006-12-01,940727.61,0.356948,0.356948,4,427781465.86,0.454734676980513
600749,2006,2006-12-01,260520.0,-0.058625,-0.058625,1,118493584.55,0.4548348861891601
000617,2006,2006-12-01,1272211.2,0.084237,0.084237,4,580548717.71,0.4563304565389772
600082,2006,2006-12-01,1262494.35,0.150555,0.150555,1,576396165.69,0.45655346155806564
000005,2006,2006-12-01,1536229.86,-0.007968,-0.007968,4,701694570.71,0.45676404877978355
000799,2006,2006-12-01,1157227.5,0.219209,0.219209,4,529436533.25,0.4575042791931578
000603,2006,2006-12-01,138510.0,0.0,0.0,4,63886839.66,0.4612435178687459
000930,2006,2006-12-01,4374251.8,0.045956,0.045956,4,2021100252.16,0.4620447895020584
600086,2006,2006-12-01,1075702.7,0.084125,0.084125,1,499898496.69,0.46471808306328505
600497,2006,2006-12-01,5028184.0,-0.058275,-0.058275,1,2337753722.07,0.46493002683871554
600272,2006,2006-12-01,276000.0,-0.023355,-0.023355,1,129148213.54,0.46792830992753626
600312,2006,2006-12-01,2323698.74,-0.015132,-0.015132,1,1087800644.59,0.46813325060803707
600320,2006,2006-12-01,12801348.0,0.134041,0.134041,1,6003200136.0,0.4689506242623824
600718,2006,2006-12-01,3339703.93,0.429697,0.429697,1,1572996451.0,0.4709987723372832
000157,2006,2006-12-01,4959068.4,0.362132,0.362132,4,2337616456.03,0.47138217654549797
000693,2006,2006-12-01,158107.95,-0.142857,-0.142857,4,74830900.55,0.4732899297600152
