year,code,date,circulate,return1,return2,type,BE,BM_ratio,qtile_30,qtile_70
2006,600259,2006-12-01,193930.0,0.040609,0.040609,1,1039268.17,0.0053589860774506,0.7696607124132039,1.3984403368272065
2006,000545,2006-12-01,212299.22,-0.078189,-0.078189,4,2142834.21,0.010093462472448,0.7696607124132039,1.3984403368272065
2006,600862,2006-12-01,413603.3,0.414226,0.414226,1,8258111.8,0.019966261874603,0.7696607124132039,1.3984403368272065
2006,000007,2006-12-01,292657.04,-0.05098,-0.05098,4,17128566.88,0.0585277800937233,0.7696607124132039,1.3984403368272065
2006,600892,2006-12-01,91705.1,-0.099248,-0.099248,1,5400928.57,0.0588945278943046,0.7696607124132039,1.3984403368272065
2006,600800,2006-12-01,1489295.64,0.044037,0.044037,1,106724714.51,0.071661201203812,0.7696607124132039,1.3984403368272065
2006,600735,2006-12-01,257896.13,-0.034375,-0.034375,1,18714055.19,0.072564311802585,0.7696607124132039,1.3984403368272065
2006,600248,2006-12-01,165120.0,0.002915,0.002915,1,20244054.54,0.122602074491279,0.7696607124132039,1.3984403368272065
2006,000498,2006-12-01,468482.99,-0.042857,-0.042857,4,58672700.75,0.125239767510022,0.7696607124132039,1.3984403368272065
2006,600198,2006-12-01,2843138.58,-0.036787,-0.036787,1,389039909.8,0.1368346631207825,0.7696607124132039,1.3984403368272065
2006,600858,2006-12-01,1591065.9,0.198352,0.198352,1,263357158.15,0.1655224702823434,0.7696607124132039,1.3984403368272065
2006,600847,2006-12-01,179537.33,0.011236,0.011236,1,31711791.17,0.1766306270122208,0.7696607124132039,1.3984403368272065
2006,000885,2006-12-01,246000.0,0.19186,0.19186,4,43945326.7,0.1786395394308943,0.7696607124132039,1.3984403368272065
2006,600136,2006-12-01,140901.33,0.012945,0.012945,1,25863115.82,0.1835548026409686,0.7696607124132039,1.3984403368272065
2006,600804,2006-12-01,1135586.24,-0.026644,-0.026644,1,225418516.72,0.1985040931105329,0.7696607124132039,1.3984403368272065
2006,002008,2006-12-01,2631626.62,0.196759,0.196759,4,568717519.06,0.2161087423032679,0.7696607124132039,1.3984403368272065
2006,600118,2006-12-01,1891296.0,0.060768,0.060768,1,417711518.29,0.2208599385236367,0.7696607124132039,1.3984403368272065
2006,600643,2006-12-01,2685751.72,0.150594,0.150594,1,596765612.63,0.2221968651033759,0.7696607124132039,1.3984403368272065
2006,000793,2006-12-01,9882378.99,0.297842,0.297842,4,2219699931.1,0.2246119009750707,0.7696607124132039,1.3984403368272065
2006,002022,2006-12-01,1770685.28,0.166889,0.166889,4,398022749.02,0.2247845811538005,0.7696607124132039,1.3984403368272065
2006,600519,2006-12-01,26552591.35,0.296384,0.296384,1,5995028649.43,0.2257794190558354,0.7696607124132039,1.3984403368272065
2006,600143,2006-12-01,5380721.23,0.337563,0.337563,1,1269116761.26,0.2358636894593404,0.7696607124132039,1.3984403368272065
2006,000010,2006-12-01,364052.95,0.140127,0.140127,4,86444211.11,0.2374495553737444,0.7696607124132039,1.3984403368272065
2006,600161,2006-12-01,2946645.0,0.156425,0.156425,1,708353894.18,0.2403933606457513,0.7696607124132039,1.3984403368272065
2006,002024,2006-12-01,13356578.3,0.297143,0.297143,4,3212093431.03,0.2404877476014946,0.7696607124132039,1.3984403368272065
2006,600828,2006-12-01,544964.39,-0.082559,-0.082559,1,132271765.26,0.2427163456680169,0.7696607124132039,1.3984403368272065
2006,000538,2006-12-01,4645525.35,0.112651,0.112651,4,1146446080.54,0.2467850230415813,0.7696607124132039,1.3984403368272065
2006,600309,2006-12-01,11131192.22,0.212106,0.212106,1,2819764253.19,0.2533209558742127,0.7696607124132039,1.3984403368272065
2006,000560,2006-12-01,507747.72,-0.021875,-0.021875,4,128867675.98,0.253802569472887,0.7696607124132039,1.3984403368272065
2006,002007,2006-12-01,2317566.48,0.197293,0.197293,4,588301388.53,0.2538444500327774,0.7696607124132039,1.3984403368272065
2006,600647,2006-12-01,233520.06,-0.012346,-0.012346,1,60372195.8,0.2585310906480582,0.7696607124132039,1.3984403368272065
2006,600517,2006-12-01,1175781.25,0.092956,0.092956,1,304384105.91,0.2588781764550166,0.7696607124132039,1.3984403368272065
2006,600879,2006-12-01,5318721.1,0.028743,0.028743,1,1378529421.2,0.2591843782145298,0.7696607124132039,1.3984403368272065
2006,000430,2006-12-01,322713.72,0.028436,0.028436,4,84232170.59,0.2610120530047498,0.7696607124132039,1.3984403368272065
2006,000568,2006-12-01,8437067.89,0.354356,0.354356,4,2207418013.21,0.2616333117132236,0.7696607124132039,1.3984403368272065
2006,600415,2006-12-01,4445231.67,0.151648,0.148768,1,1179336866.3,0.2653038027824543,0.7696607124132039,1.3984403368272065
2006,600583,2006-12-01,10895588.35,0.229869,0.229869,1,3016601597.55,0.2768644978726642,0.7696607124132039,1.3984403368272065
2006,000563,2006-12-01,1116965.85,0.16341,0.16341,4,310974203.57,0.2784097683648967,0.7696607124132039,1.3984403368272065
2006,600737,2006-12-01,3059326.25,0.132331,0.132331,1,852211992.84,0.2785619849599238,0.7696607124132039,1.3984403368272065
2006,000001,2006-12-01,20393467.63,0.143874,0.143874,4,5705631842.0,0.279777424100582,0.7696607124132039,1.3984403368272065
2006,000922,2006-12-01,637925.0,0.276882,0.276882,4,181064034.46,0.2838327929772308,0.7696607124132039,1.3984403368272065
2006,000423,2006-12-01,3932635.96,0.025468,0.025468,4,1122438029.24,0.2854162044635324,0.7696607124132039,1.3984403368272065
2006,600030,2006-12-01,46944881.12,0.464955,0.464955,1,13599092444.28,0.2896821148512049,0.7696607124132039,1.3984403368272065
