date,beta1,beta2,beta3,beta4,beta5
2007-12-01,0.8737118090317487,0.8844163980677715,0.9471328807062869,0.8798748765699077,1.0330915427565293
2008-01-01,0.8012737441121982,0.8093961972807402,0.8773776115684488,0.8096814466836726,0.9726051737234784
2008-02-01,0.7705514362711161,0.8024653535950965,0.8637146085771428,0.7985102060212224,0.9663550079346497
2008-03-01,0.8035158045190676,0.8434887257528266,0.9030816004175661,0.8640929908262371,1.0253080363008535
2008-04-01,0.8060295356484075,0.8561765363642297,0.8960668088753931,0.8974999491050839,1.0200216699192628
2008-05-01,0.7704110725933968,0.8170370559100489,0.8457464797627183,0.8632931673080203,0.9509323152061736
2008-06-01,0.8394109065306887,0.8778287158121978,0.9131203554859186,0.9395581016594652,1.0061486830230877
2008-07-01,0.828771172052097,0.8773576775942652,0.9082314812446844,0.9378745521118143,1.0199053516461867
2008-08-01,0.8637029598531546,0.9185183390594016,0.9592341237764909,0.9929296314586856,1.0909218799552916
2008-09-01,0.8694930995892591,0.9198170622456115,0.9582774808177883,0.9973298421399752,1.1291568189799301
2008-10-01,0.8819848095343122,0.9531960915900691,0.9754341450114341,1.017877693577608,1.1536636202667743
2008-11-01,0.9207802363528396,1.0013191506853036,1.0214795844997027,1.0657716972777367,1.2178262361895842
2008-12-01,1.0610746796002348,1.143974551747732,1.1405852513883619,1.245048317200545,1.383405594403898
2009-01-01,1.0483836894389407,1.094161331484991,1.145771613547268,1.2117924853700626,1.3505718064693397
2009-02-01,1.0328374264838638,1.083003046406387,1.137432183047185,1.1966689779164363,1.3305947735837576
2009-03-01,1.0314622490962373,1.0798679634153348,1.1266088267582164,1.2113675856764425,1.3249840140252052
2009-04-01,0.9912801648404519,1.0317646034736008,1.0933916059560285,1.145484870951715,1.22116369343397
2009-05-01,1.0040098299587195,1.0216613509703891,1.0963170220208487,1.1325741962027214,1.2118904453676986
2009-06-01,0.9399877084082702,0.9726151289522372,1.0292400393442116,1.0639739177666812,1.1717597193846259
2009-07-01,0.8790029434896093,0.9551380090587123,1.0039284828245605,1.0361858293792658,1.1568864043103009
2009-08-01,0.9040366873398111,0.960855585966508,1.015533709298656,1.0460588597784066,1.1106638403897344
2009-09-01,0.9195909223239371,0.9850063813881587,1.015825719371159,1.0550924710107354,1.0706070314696101
2009-10-01,0.9741985954986843,1.0278086431439006,1.0611113616326628,1.0948547369075279,1.0987679003273552
2009-11-01,1.007209686893906,1.0534083922549233,1.0918944053884478,1.101832680247158,1.125577485903654
2009-12-01,0.9840987995907342,1.0280386815183742,1.0589456286342505,1.0844038464103885,1.093544025706566
2010-01-01,0.9995530877242853,1.0520498198479558,1.0888507030733066,1.1110942538511719,1.1531632813662567
2010-02-01,1.006211370752345,1.0569313011394428,1.0856681079055308,1.103974168350521,1.1597381372379316
2010-03-01,1.0106869904936504,1.0446584580567437,1.076741274592882,1.1110128127085384,1.1830384550717254
2010-04-01,1.0547922173265976,1.076783546051271,1.0760565104615134,1.1636532759795946,1.1961107303662528
2010-05-01,1.0659675316344568,1.0873769010329593,1.0791399020953814,1.1773937214296224,1.210975050361596
2010-06-01,1.0435880751633628,1.060201400256668,1.0620717391902437,1.1471178052355997,1.2073454961791552
2010-07-01,1.0437750131163082,1.075585083189779,1.0722172567955108,1.1469919089121206,1.195809886356956
2010-08-01,1.0015479296171934,1.0094059273541667,1.0313298788708365,1.0889156362313654,1.1238494937796353
2010-09-01,0.9811125218768331,1.016390025332616,1.0117649610771406,1.0711523852099532,1.0991039695961469
2010-10-01,0.9110549147891198,0.9148590987046957,0.9436097653682283,0.9884465776375063,1.0374188140477434
2010-11-01,0.8985073309419176,0.8886682425185781,0.9117264821672362,0.9347451812181574,1.0033762707729306
2010-12-01,0.9252000984107133,0.8987742207312068,0.9158603691877252,0.9870974941883783,1.0440988199822119
2011-01-01,0.9112165349297446,0.8910808883703676,0.9265397856710929,0.9751037439955257,1.0914663483894311
2011-02-01,0.9186743403640365,0.9044189293909588,0.9140352966662717,0.984162681705906,1.077779246629075
2011-03-01,0.893072446306096,0.8576959940761687,0.8746902673931634,0.9166154935694251,1.013849774219076
2011-04-01,0.8848865938110184,0.8509903653745288,0.9110726427019662,0.9223790277313483,1.0062719611788817
2011-05-01,0.8964540913763744,0.8650100515256578,0.935653641641234,0.9170766923180108,1.043214775905711
2011-06-01,0.9598997515206654,0.9338979125757676,0.9946994297717597,0.9864042814299219,1.0578255584125742
2011-07-01,0.9976094024614108,0.9639164651702979,1.0116123659978458,1.0005307016616776,1.0801061611989937
2011-08-01,1.0627635726493945,1.0922940630028384,1.1407999062664895,1.1015827094447965,1.226040712883407
2011-09-01,1.0656505059151717,1.1291197464824783,1.1897519885511207,1.1764877559217441,1.2772826294391026
2011-10-01,1.0580990382909703,1.0970741208635468,1.1278997085842333,1.15730401994756,1.2417675541644289
2011-11-01,1.0078758600327007,1.0485613996957313,1.0425022325123503,1.1149848329229912,1.1887579352126456
2011-12-01,1.0590531111842618,1.1266575159288823,1.1307997697246752,1.1615882601265826,1.2743687166006603
2012-01-01,1.1154731144886325,1.167655854809627,1.1369077989499232,1.1883226255483863,1.3227448758845242
2012-02-01,1.1292355813640222,1.1819782977529432,1.1465709159747963,1.2284270078256987,1.3500713129786517
2012-03-01,1.1186537169688666,1.1577860301138612,1.1575092346931986,1.20927899565991,1.3633665783776423
2012-04-01,1.116076211211114,1.1723941281130905,1.1853512984641879,1.2492269823069702,1.36933726699982
2012-05-01,1.1048897536507307,1.1868683119877788,1.222303058786552,1.2596348751346933,1.3885577632658497
