date,group1,group2,group3,group4,group5,next_rf,beta1,beta2,beta3,beta4,beta5
2007-12-01,-0.04699447290640394,-0.05355689705882353,-0.06336286206896552,-0.07851108333333333,-0.09185636945812808,0.003386,0.8737118090317487,0.8844163980677715,0.9471328807062869,0.8798748765699077,1.0330915427565293
2008-01-01,0.10140335416666667,0.0858936265560166,0.08970792531120332,0.0868405625,0.04896417427385892,0.003386,0.8012737441121982,0.8093961972807402,0.8773776115684488,0.8096814466836726,0.9726051737234784
2008-02-01,-0.17815008764940238,-0.18603182936507937,-0.20130662549800796,-0.19493638095238094,-0.2015977619047619,0.003386,0.7705514362711161,0.8024653535950965,0.8637146085771428,0.7985102060212224,0.9663550079346497
2008-03-01,-0.05201019305019305,-0.05500103846153846,-0.036050474903474905,-0.05160856923076923,-0.03770969615384615,0.003386,0.8035158045190676,0.8434887257528266,0.9030816004175661,0.8640929908262371,1.0253080363008535
2008-04-01,-0.020571152671755726,-0.020268794676806083,-0.03277360836501902,-0.012123889733840303,-0.025725334600760454,0.003386,0.8060295356484075,0.8561765363642297,0.8960668088753931,0.8974999491050839,1.0200216699192628
2008-05-01,-0.23940031939163497,-0.24775786311787074,-0.24880990151515148,-0.24814165399239546,-0.2378088143939394,0.003386,0.7704110725933968,0.8170370559100489,0.8457464797627183,0.8632931673080203,0.9509323152061736
2008-06-01,0.08642944776119403,0.08638748880597015,0.0915077276119403,0.08410189925373134,0.07773964179104477,0.003386,0.8394109065306887,0.8778287158121978,0.9131203554859186,0.9395581016594652,1.0061486830230877
2008-07-01,-0.19565936764705882,-0.20607871428571428,-0.21874389338235295,-0.24425827106227105,-0.2514567142857143,0.003386,0.828771172052097,0.8773576775942652,0.9082314812446844,0.9378745521118143,1.0199053516461867
2008-08-01,-0.06551062815884476,-0.07885267870036101,-0.07389119855595667,-0.08905527075812274,-0.10548783032490974,0.003386,0.8637029598531546,0.9185183390594016,0.9592341237764909,0.9929296314586856,1.0909218799552916
2008-09-01,-0.2462778136200717,-0.2534945071428571,-0.25982430465949824,-0.2646837321428572,-0.27687874285714287,0.003386,0.8694930995892591,0.9198170622456115,0.9582774808177883,0.9973298421399752,1.1291568189799301
2008-10-01,0.18303082978723403,0.19700940425531915,0.18915470921985816,0.20300901418439715,0.195839390070922,0.002952,0.8819848095343122,0.9531960915900691,0.9754341450114341,1.017877693577608,1.1536636202667743
2008-11-01,0.05347893309859155,0.054161877192982454,0.06838279649122807,0.05638325964912281,0.07581196830985915,0.002076,0.9207802363528396,1.0013191506853036,1.0214795844997027,1.0657716972777367,1.2178262361895842
2008-12-01,0.1362251660899654,0.15406571280276818,0.14375777586206895,0.17551648096885814,0.18378745172413793,0.0018559999999999,1.0610746796002348,1.143974551747732,1.1405852513883619,1.245048317200545,1.383405594403898
2009-01-01,0.09211340206185567,0.07910071134020619,0.09248255326460482,0.09283792096219931,0.09587801718213058,0.0018559999999999,1.0483836894389407,1.094161331484991,1.145771613547268,1.2117924853700626,1.3505718064693397
2009-02-01,0.2002815,0.2142335254237288,0.21959306101694917,0.2180544305084746,0.25307977966101697,0.0018559999999999,1.0328374264838638,1.083003046406387,1.137432183047185,1.1966689779164363,1.3305947735837576
2009-03-01,0.08398772635135135,0.07451386195286196,0.06713715540540541,0.06974053198653199,0.041552134680134675,0.0018559999999999,1.0314622490962373,1.0798679634153348,1.1266088267582164,1.2113675856764425,1.3249840140252052
2009-04-01,0.0766664949832776,0.07614436912751678,0.0759706744966443,0.0887752474916388,0.08223944481605351,0.0018559999999999,0.9912801648404519,1.0317646034736008,1.0933916059560285,1.145484870951715,1.22116369343397
2009-05-01,0.0845951711409396,0.07826661744966443,0.0796820100671141,0.052884510067114095,0.09817920134228188,0.0018559999999999,1.0040098299587195,1.0216613509703891,1.0963170220208487,1.1325741962027214,1.2118904453676986
2009-06-01,0.13209015666666665,0.1493225566666667,0.15346078666666665,0.14012138333333332,0.15905481999999999,0.0018559999999999,0.9399877084082702,0.9726151289522372,1.0292400393442116,1.0639739177666812,1.1717597193846259
2009-07-01,-0.14883419333333334,-0.14217486710963456,-0.15835102325581396,-0.15334622,-0.18075551495016612,0.0018559999999999,0.8790029434896093,0.9551380090587123,1.0039284828245605,1.0361858293792658,1.1568864043103009
2009-08-01,0.04378016447368421,0.050675986885245904,0.033966131578947366,0.036906144262295076,0.028917039344262294,0.0018559999999999,0.9040366873398111,0.960855585966508,1.015533709298656,1.0460588597784066,1.1106638403897344
2009-09-01,0.10730761237785018,0.12025262662337663,0.11325455194805195,0.11876027922077922,0.12655463636363637,0.0018559999999999,0.9195909223239371,0.9850063813881587,1.015825719371159,1.0550924710107354,1.0706070314696101
2009-10-01,0.17266439805825243,0.16230447249190938,0.15151183495145631,0.137497715210356,0.1310012258064516,0.0018559999999999,0.9741985954986843,1.0278086431439006,1.0611113616326628,1.0948547369075279,1.0987679003273552
2009-11-01,0.038461477564102564,0.03773187220447285,0.016304958333333334,0.015707869009584666,0.01465632587859425,0.0018559999999999,1.007209686893906,1.0534083922549233,1.0918944053884478,1.101832680247158,1.125577485903654
2009-12-01,-0.012765591772151896,-0.024280529968454256,-0.03729709554140127,-0.03480247949526814,-0.04736726813880126,0.0018559999999999,0.9840987995907342,1.0280386815183742,1.0589456286342505,1.0844038464103885,1.093544025706566
2010-01-01,0.06844042721518988,0.058838015772870664,0.0594619022082019,0.0707733785488959,0.057317097791798104,0.0018559999999999,0.9995530877242853,1.0520498198479558,1.0888507030733066,1.1110942538511719,1.1531632813662567
