date,P1,P2,P3,P4,P5
2007-12-01,-0.04991173571836124,-0.05672768751058255,-0.06332465411214544,-0.08538155291602363,-0.08563652473823229
2008-01-01,0.13077846982590455,0.11030398568211934,0.10610474222699101,0.11143464243815117,0.053824692370742624
2008-02-01,-0.22680392174093902,-0.22760587550205658,-0.22915048967859467,-0.23988469966693204,-0.20511277975202055
2008-03-01,-0.06051429576957273,-0.06119232763362811,-0.03617001485621181,-0.055807152404580083,-0.0334764723757365
2008-04-01,-0.021320748076472402,-0.01971882428418232,-0.03279622464970204,-0.00973581084049424,-0.02190084314829181
2008-05-01,-0.3063485557095533,-0.299095201802909,-0.2901861342467631,-0.28351394782332084,-0.24651892742031142
2008-06-01,0.106998190114546,0.10226766018118762,0.10392247532521871,0.09311600751375414,0.08062987425207732
2008-07-01,-0.23199813667622649,-0.2310263185266724,-0.2371178469691626,-0.2568278140396265,-0.2432291524750936
2008-08-01,-0.07192823348597427,-0.08216131947636648,-0.0735015538004202,-0.08627929718671842,-0.09359224725522428
2008-09-01,-0.2793487535839119,-0.2719111412569911,-0.2676033923291773,-0.2619973063096051,-0.24220970750919582
2008-10-01,0.2108685181158992,0.20977992463413755,0.1969448272877574,0.20234357770479394,0.17231313060296838
2008-11-01,0.06033462807438355,0.05616378869263931,0.06897719500261688,0.054851578249303534,0.06395655307407419
2008-12-01,0.13013331553815613,0.1362982354498667,0.12766584144834633,0.14246232737993245,0.13419307575095543
2009-01-01,0.0896326440486162,0.07398973899976158,0.08233626330865008,0.07814367732547967,0.07236491737349858
2009-02-01,0.19571085905372926,0.19952808640821043,0.19469210060830724,0.18376880705253051,0.19159535624387397
2009-03-01,0.08322527210915101,0.07072148127380715,0.061239672339449956,0.059103886246511625,0.03276125162315265
2009-04-01,0.07921322121472674,0.07559899696589313,0.07117914027572482,0.07912042296668538,0.06886500578769505
2009-05-01,0.08610590111900995,0.07842385089106353,0.07437448149515588,0.04833282468437582,0.08254475619034209
2009-06-01,0.14249777467142044,0.15543512759206796,0.15090433788956353,0.13344066143214184,0.13732407535267177
2009-07-01,-0.16721012645285968,-0.14690952069630106,-0.15588264097808452,-0.14619985692214238,-0.1546387910547021
2009-08-01,0.05048043416022374,0.05467209396759117,0.03527419252649586,0.03705541413846082,0.027706888641898946
2009-09-01,0.11870888427430112,0.12396734572550705,0.11331722533990413,0.11431820673048085,0.11994189519507308
2009-10-01,0.17914252685707963,0.15971890641994302,0.14453509829117192,0.12728055194241336,0.12091473164338842
2009-11-01,0.04002888185918459,0.03758074503254246,0.01663252256235562,0.0159405954501592,0.014670092539508697
2009-12-01,-0.01108587041940206,-0.02181292433017615,-0.033468286362455336,-0.030382112350789078,-0.041618139799534264
2010-01-01,0.07032785759807507,0.05769119924533819,0.05631433403599831,0.06536743241822607,0.05131372004985304
2010-02-01,0.040545379490688704,0.03357424731289557,0.034116898023703296,0.03361808306915176,0.034113751613122266
2010-03-01,-0.06619997153354122,-0.058179711901302354,-0.052114712999385054,-0.06327055182975738,-0.058867427012184365
2010-04-01,-0.09381172270193326,-0.08984537245649334,-0.06828789930165267,-0.07253339696822216,-0.06263058802016079
2010-05-01,-0.07801736816406003,-0.07056873671731627,-0.08016469924670463,-0.0791212874888016,-0.07785703146606242
2010-06-01,0.14635291506101986,0.1454144844202966,0.15018879708134703,0.14183404907005773,0.14062597064800605
2010-07-01,0.07845669263543688,0.08550360761348395,0.08998702972027192,0.08701946537186395,0.09119021405769803
2010-08-01,0.010720546886423432,0.025870247866395836,0.024793389196596113,0.019908401082196433,0.023656724772011337
2010-09-01,0.08679801019764134,0.0867902945085263,0.0929187986599115,0.09868792086809233,0.09563547414619497
2010-10-01,-0.0014047290183050597,0.023820527566728943,0.0016465399029566724,-0.004896873190234723,-0.006051330900294501
2010-11-01,-0.019083379717056592,-0.01846461552928704,-0.014663137359379373,-0.013670928846867205,-0.016648409364486024
2010-12-01,-0.005735196394171979,-0.029169314655522367,-0.0523502156200959,-0.04965911420474871,-0.052427187529125764
2011-01-01,0.09615935122648293,0.11140292602866698,0.10413294001910844,0.10843723919422718,0.10552660462215432
2011-02-01,0.014996041494038307,0.006144879934622556,0.005271958440922635,-0.0054634312992407515,0.003780269238297472
2011-03-01,-0.007819696200021771,-0.01415534734140536,-0.03063235770672033,-0.031808424585630185,-0.04157873111766793
2011-04-01,-0.05531428023999223,-0.08403711683261593,-0.07384700353096388,-0.0713374139895772,-0.07631354483749098
2011-05-01,0.010327911435289884,0.0326114299760708,0.03784038810602009,0.05029867481932779,0.05172871763615104
2011-06-01,0.004325295101570979,0.021582079201789745,0.01817149666425168,0.022452576960339247,0.012761528439783787
2011-07-01,-0.039594303434576754,-0.03314239002555621,-0.034569884042445875,-0.03905289462471962,-0.035641849982767974
2011-08-01,-0.08131176443454421,-0.09685764465352172,-0.1022032192676995,-0.11368238364587979,-0.10646229285054705
2011-09-01,0.04207250274219291,0.024002771254724973,0.02463854525232061,0.03936521598092942,0.032755188140461286
2011-10-01,-0.04992043819676307,-0.047134130967755504,-0.03346209360925631,-0.039487196439999664,-0.032424573227229615
2011-11-01,-0.1142470682513936,-0.1394645690611201,-0.1421414460635658,-0.13078211361596753,-0.14973839450882098
2011-12-01,0.02361953764491989,0.013466792196534629,0.015662190777108242,0.01510453949079553,0.02149864494959285
2012-01-01,0.09235082934191886,0.10642061926301839,0.11256918833154238,0.11813077544884357,0.1164403008286926
2012-02-01,-0.04693461762818687,-0.05178868587870852,-0.05374427373951546,-0.05916079586452422,-0.06279937738692551
