,count,mean,std,min,25%,50%,75%,max
HML_ours,162.0,-0.006175268018892469,0.03414877032395665,-0.18293205713779737,-0.023160895357870494,-0.007300206701885181,0.012526507025137003,0.1462151721514841
HML_csmar,162.0,-0.0014863703703703708,0.03487928695188467,-0.147872,-0.01946975,0.0017645,0.01524275,0.160514
