month,obs,residual,coef_of_beta,coef_of_beta^2,residual_tvalue,coef_tvalue,coef2_tvalue,residual_pvalue,coef_pvalue,coef2_pvalue,Rsquared,adj_Rsquared
2019-37,10.0,0.09645079179241425,-0.1521707518306749,0.07328506172554489,0.4988971520479105,-0.45168876516350853,0.5022474324437876,0.6331453269501632,0.6651558748551099,0.6309042074004703,0.26586571189589936,0.05611305815187051
2019-38,10.0,-0.1429574213893047,0.24405732939374555,-0.10916277937052664,-1.2637247953513568,1.2380566868845784,-1.2785491423175896,0.246785235141958,0.2556042908683964,0.24181162445640975,0.3044430238383895,0.10571245922078643
2019-39,10.0,0.08903471366346649,-0.19740851044937324,0.07408282843800401,0.5164529107919306,-0.6571130759398798,0.5693586957877942,0.6214480517453558,0.5321108910546424,0.586909634380946,0.5114376329916823,0.37184838527502007
2019-40,10.0,-0.10744390015280902,0.18001029162046409,-0.08167572474142235,-1.7430552718672012,1.6758286243665141,-1.755575173715608,0.12485138486122677,0.13767801149586328,0.12259159043708613,0.5537199980800838,0.4262114261029648
2019-41,10.0,0.07017235006053146,-0.10805412330041764,0.05930503160779127,0.3972496523761614,-0.3510279705938474,0.4448218234501527,0.703017532323382,0.7358948377858574,0.6698773845377689,0.5364162925671192,0.40396380472915316
2019-42,10.0,0.13422077408861402,-0.24638715493028412,0.09918370906831037,0.9435655645702098,-0.9939700099779245,0.9238250380816466,0.3768100894399672,0.3533465076478665,0.3863148115691427,0.43371836423672727,0.27192361116150643
2019-43,10.0,-0.067021015240318,0.12391254509816535,-0.05101091071235332,-0.2771339184635614,0.29403351250683635,-0.27947231798633426,0.7896827359276704,0.7772596620653256,0.7879597411091346,0.0376220180516007,-0.23734311964794208
2019-44,10.0,-0.08475707283796088,0.16718802483407363,-0.08617937286712571,-0.6699157808016238,0.7583196336387189,-0.90249463298502,0.5243872295377412,0.4730130835969427,0.39678536087572724,0.7353878151239788,0.6597843337308298
2019-45,10.0,0.08001952854854587,-0.1273149513553687,0.04927037093256446,0.48338757406299343,-0.4413486241039569,0.39435047253974004,0.6435738510539342,0.6722715811813544,0.7050607154072785,0.23652198993680396,0.01838541563303353
2019-46,10.0,-0.4022171366291467,0.6642877610844384,-0.29668673336727136,-1.6834743803833374,1.5955303409664228,-1.645284886031152,0.1361587521734427,0.15462394545996772,0.1439078328213411,0.40983605615389296,0.2412177864835766
2019-47,10.0,0.2654025609832116,-0.48101609727048766,0.2230726970240052,0.9513452521886694,-0.9894538229984536,1.0594403357896487,0.37311317640364083,0.3554017997310664,0.3245812429838068,0.43871303501994663,0.2783453307399313
2019-48,10.0,-0.15016857688961036,0.24107116665295325,-0.09724610883609307,-0.9528663957584775,0.8778111447261608,-0.8175648635023909,0.37239355322388185,0.4091619570331051,0.4405417644956525,0.363361434974809,0.1814647021104686
2019-49,10.0,-0.22884303017767776,0.4173683240206364,-0.17313266698521115,-1.3574169035941122,1.4206854195421954,-1.3606662796116984,0.21678458709225618,0.19838386775817912,0.2158039903191972,0.4255859444208968,0.2614676428268673
2019-50,10.0,0.06909667409546671,-0.12689774991910596,0.06764653144012772,0.32143814371732404,-0.33876385318692476,0.4169489080289177,0.7572634629408936,0.744722433683013,0.6892049362085007,0.4471198019345364,0.28915403105868953
2019-51,10.0,0.21809750365480962,-0.3386630441946978,0.147550365402949,4.225014002364178,-3.7648540120893927,3.78716988391272,0.003912217048143621,0.007030086728198193,0.006828066393080697,0.6775941095781276,0.585478140886164
2019-52,10.0,-0.08876907992524036,0.12156983711940461,-0.0378111281837592,-0.33223996399231176,0.2611072086323707,-0.18750239870667382,0.7494351895452485,0.8015251237077416,0.8565859397396954,0.4137790168137985,0.24628730733202653
2019-53,10.0,-0.019375349192200547,0.0635995439900548,-0.02959486580208233,-0.142451259782851,0.2683327196394216,-0.28829039337329326,0.8907370856149049,0.796178934140189,0.7814738718820904,0.058764629294506876,-0.21015976233563416
2020-01,10.0,0.2610762556671923,-0.41192930892112456,0.17574371034524913,2.2683909043198662,-2.053884841486373,2.023146595792593,0.0576140311885976,0.079075665007007,0.08274529564168691,0.41713345935482293,0.25060016202762947
2020-02,10.0,-0.23272575979152177,0.4297164352837231,-0.18529707989536232,-1.4362615977106383,1.5218572962345038,-1.5151467786583364,0.19407302478928734,0.17185665842134296,0.17351092842466417,0.2511075864042456,0.037138325376887105
2020-03,10.0,0.09698014924414344,-0.16489389378651112,0.06594470939224185,0.534824829805048,-0.5218385534654848,0.48184317513904273,0.6093314142791015,0.617882807294355,0.6446170775995197,0.1950238971422712,-0.03496927510279435
2020-04,10.0,-0.14359008175398158,0.24849473849320525,-0.13322181405713562,-0.45445446199109746,0.45132147758820734,-0.5586480817735325,0.6632588381784292,0.6654080017491,0.5938135108241166,0.6034747808009531,0.4901818610297968
2020-06,10.0,-0.3148875144799932,0.5673440051718237,-0.2837094412512978,-0.8427241725762017,0.8713233556013771,-1.0060066200977973,0.4272353925369826,0.4124613471854367,0.34791371391033116,0.7114122082323027,0.628958553441532
2020-07,10.0,0.3892385731870528,-0.7387269283637332,0.3591164434924991,1.9921098452816832,-2.169622694182843,2.4351725578974897,0.08662136061392665,0.06665415425818089,0.04507708976692852,0.9078442915303097,0.8815140891103981
2020-08,10.0,-0.3876017872090113,0.7637704461380694,-0.31825129117726325,-1.4768431776531443,1.6699917831930984,-1.6066298229161065,0.18323467284971995,0.13884856393193748,0.15217082221000597,0.4740375556811338,0.3237625715900292
