month,obs,residual,coef_of_beta,residual_tvalue,coef_tvalue,residual_pvalue,coef_pvalue,Rsquared,adj_Rsquared
2019-37,10.0,-0.00042725517097990176,0.016939137397953385,-0.03446561560355893,1.5868698393620908,0.9733502958616,0.1512036095003621,0.23941039799295727,0.1443366977420769
2019-38,10.0,0.001348616123743063,-0.007842649845873434,0.17038869181916053,-1.1507117532044997,0.8689347906320097,0.28308198652649585,0.14201179824190457,0.03476327302214266
2019-39,10.0,-0.008897928591460505,-0.026457724355848766,-0.8009603797027516,-2.765832706965968,0.44628820595580454,0.024453514413261445,0.48881235692394764,0.4249139015394411
2019-40,10.0,0.0005260532177928379,-0.008461580251827507,0.11287940715304909,-2.108569007741158,0.9129073091623852,0.06802460231029461,0.3572264713253036,0.2768797802409666
2019-41,10.0,-0.008225013631154295,0.028795967151209658,-0.7288903175912682,2.9635245345614734,0.48685602520898086,0.018048765500183896,0.5233123404802393,0.46372638304026925
2019-42,10.0,0.003106413277833812,-0.017514508051145728,0.32727377348919756,-2.142896601883827,0.7518603019782573,0.06448483975872167,0.3646762797279631,0.2852608146939585
2019-43,10.0,0.00041206439798836727,0.006201660275227124,0.0268977047788424,0.47012073223213674,0.9792001893253016,0.6508181487029399,0.02688397273611054,-0.0947555306718757
2019-44,10.0,0.029166408091401457,-0.031676298347253995,3.4634318560233903,-4.3682695236258375,0.008524654461245491,0.002386017268995511,0.7045984272675786,0.6676732306760259
2019-45,10.0,0.014887328387690576,-0.013620471546326063,1.4119712003597586,-1.5002115903227273,0.19565178636876,0.17194965230608678,0.21956053026911726,0.12200559655275689
2019-46,10.0,-0.010016726179717036,-0.020335536406136483,-0.5651451610565249,-1.3324200118636034,0.5874691165264605,0.2194248405379313,0.18161440187110323,0.07931620210499113
2019-47,10.0,-0.029484919626082715,0.033738181370060565,-1.557472476237561,2.0696333005077974,0.15797310564520597,0.07227024887396552,0.3487135708283917,0.2673027671819407
2019-48,10.0,-0.021615596554922567,0.016669654175895037,-2.0801630934426885,1.8629794050006716,0.07109715552184315,0.0994743323657846,0.3025704276378842,0.21539173109261978
2019-49,10.0,2.700483580812818e-05,0.0178538056952667,0.002261209238599186,1.736126302917598,0.9982511868790769,0.12075308098490885,0.27366058847591,0.1828681620353988
2019-50,10.0,-0.02032760549797019,0.029200876038022655,-1.4827925574707093,2.47366769401525,0.17641581389848635,0.03848973374663915,0.43338891227879106,0.36256252631363994
2019-51,10.0,0.02304559413325066,0.0018187042192326017,4.058551676233741,0.37196026468792587,0.003640746596231185,0.7195819328859641,0.017000296503686507,-0.10587466643335275
2019-52,10.0,-0.03878524739954144,0.03431828068745903,-2.2985277937217337,2.3618919083188192,0.050586954040802205,0.04582270000141577,0.41083475127693236,0.33718909518654894
2019-53,10.0,0.019747123130833506,-0.004692470230651911,2.2910707362461227,-0.6322480416440066,0.05117924152846298,0.5448661494143514,0.04758929455382055,-0.07146204362695197
2020-01,10.0,0.02875459251420161,-0.006389643819719914,3.1503643501478082,-0.8129831029662682,0.013591005547903802,0.439749887926433,0.07631289551450804,-0.0391479925461784
2020-02,10.0,0.012224831578799267,0.0021317690819555885,1.039253691094638,0.21046028441582146,0.3290742375035696,0.8385699909469111,0.005506205255185415,-0.11880551908791648
2020-03,10.0,0.009805566824952913,-0.012722329241742408,0.8444947642111885,-1.2724542916988641,0.42292679549689005,0.23894714611187673,0.16832481252769227,0.06436541409365382
2020-04,10.0,0.03252042228175464,-0.05892297648957609,1.5985688750133034,-3.363652762717759,0.14858373431621358,0.00987811536925257,0.5857961185964464,0.5340206334210023
2020-06,10.0,0.060157766595631976,-0.0873333745485152,2.3888003300427814,-4.027352933850583,0.043938022052495695,0.0038020358656037797,0.6696886256142147,0.6283997038159915
2020-07,10.0,-0.08548982109724232,0.08995685178551449,-5.110241213511701,6.24471385192834,0.000918170469108411,0.0002471215262867446,0.829774380532267,0.8084961780988005
2020-08,10.0,0.03310555487247584,0.02938557518837097,1.7114654065908657,1.7642200466131641,0.12535715886465756,0.11570071809988933,0.28008819895652093,0.19009922382608602
2020-09,10.0,-0.034131992523795125,-0.013557859616487235,-1.3211565221638446,-0.609445769533351,0.22298431082585113,0.5591357643724519,0.04436809550254128,-0.07508589255964115
2020-10,10.0,0.01736115691242579,0.057058270982881854,0.5748673546945949,2.194112514462087,0.5811832677004909,0.05953799417264266,0.375689167271847,0.2976503131808279
2020-11,10.0,-0.07453587788400891,0.019284414413392972,-3.5757987803062807,1.0743986634522662,0.00723235448219947,0.3139779390299026,0.12609684971980684,0.016858955934782704
2020-12,10.0,-0.00649832557423799,-0.026221010141638416,-0.6611309088617826,-3.098037829530996,0.5271057500864437,0.01470939641202919,0.5453987119753871,0.4885735509723106
2020-13,10.0,0.05454953116868132,-0.049811823101953166,5.398997189391339,-5.725399805041012,0.0006467905274916583,0.00044128492146089344,0.8038263808002596,0.779304678400292
2020-14,10.0,0.03539487845817911,-0.03955974860926621,1.7151013630443164,-2.226148813105049,0.12466821828306475,0.05663624097428211,0.38251300946831124,0.3053271356518501
2020-15,10.0,0.031691802817580335,-0.0097628283178113,2.6581139823764284,-0.9509410815669415,0.028889863753760164,0.36947544885106925,0.1015565584902951,-0.010748871698418094
2020-16,10.0,0.006579999001183702,0.0004989116938086107,0.36875651259238196,0.032470491124440566,0.7218772231471496,0.9748923491121476,0.00013177423249610687,-0.12485175398844195
2020-17,10.0,0.006147906367942227,-0.01080052040874974,0.3077701087165135,-0.6279067879086929,0.7661175980543058,0.5475661563852763,0.04696859623211547,-0.07216032923887017
