month,port1_ret,port2_ret,port3_ret,port4_ret,port5_ret,port6_ret,port7_ret,port8_ret,port9_ret,port10_ret,riskfree,mkt_return
2018-18,0.007004586206896555,0.009476530612244898,0.0045846418918918915,0.00941033333333333,0.01073265384615385,0.010305057692307698,0.008855522875816995,-0.00023514765100671057,-0.0008421677419354843,0.0022024713375796176,0.0002860000000000054,0.005086999999999838
2018-19,0.012921027586206895,0.017687108843537414,0.016132621621621632,0.02047117647058823,0.022101288461538453,0.023905532051282045,0.022559296052631572,0.027757234899328877,0.034408438709677434,0.03439863057324842,0.0002860000000000054,0.024653000000000525
2018-20,0.0024979241379310332,0.007530503401360544,0.004182682432432431,0.010108763157894732,0.005361801282051284,0.006886384615384615,0.005753633986928106,0.002674722972972973,0.004891845161290321,0.008719229299363054,0.0002860000000000054,0.007794000000000065
2018-21,-0.0032462965517241387,-0.0006190000000000013,-0.009128209459459457,-0.00012648366013071923,-0.002479696774193548,-0.010102589743589742,-0.009880542483660134,-0.011282335570469796,-0.011273470967741943,-0.006143237179487179,0.0002860000000000054,-0.018443999999999607
2018-22,-0.026264000000000006,-0.02622071428571428,-0.024188189189189174,-0.027893535947712402,-0.031873961290322585,-0.03701751923076924,-0.04003561437908495,-0.05070117449664428,-0.04550904516129034,-0.05868536942675157,0.0002860000000000054,-0.021159000000000584
2018-23,-0.0018005379310344826,-0.009121876712328768,-0.00614989864864865,-0.008389339869281047,-0.012074288461538461,-0.011092743589743586,-0.004218217105263157,-0.008536060402684564,-0.005444638709677418,-0.005916420382165606,0.0002860000000000054,0.0006049999999999898
2018-24,-0.03975037241379309,-0.03082078911564626,-0.04353616891891891,-0.0382294248366013,-0.03895835897435897,-0.043394346153846165,-0.033298901960784305,-0.038047263513513535,-0.027151574193548376,-0.03972284713375796,0.0002860000000000054,-0.014777999999999797
2018-25,-0.05703577777777778,-0.055174184931506866,-0.05803196621621621,-0.06490620394736842,-0.06958017307692312,-0.07636751923076923,-0.07385971241830062,-0.07278355033557045,-0.07615822580645153,-0.08280177070063696,0.0002860000000000054,-0.04519899999999831
2018-26,0.00022937931034482852,-0.0004993945578231301,0.0067726216216216235,0.017440052287581703,0.014871891025641027,0.017857737179487174,0.011414065359477123,0.021538959731543617,0.017254232258064522,0.01819174522292993,0.0002860000000000054,-0.014133000000000048
2018-27,-0.03453311034482759,-0.03253385034013604,-0.03756524999999999,-0.03688052287581697,-0.03964129487179486,-0.03634364102564101,-0.04068338562091503,-0.038741973154362404,-0.051540877419354876,-0.047311216560509566,0.0002860000000000054,-0.038904999999999766
2018-28,0.03321455172413793,0.03275606122448979,0.036894222972972956,0.03404232026143791,0.04065248717948716,0.03461336538461541,0.03955405882352942,0.035288791946308726,0.03833603870967742,0.042284324840764304,0.0002860000000000054,0.039434999999998985
2018-29,0.001108593103448276,0.005627115646258504,-0.0007767364864864869,-0.0017846601307189563,-0.0003510448717948721,0.0009284743589743591,0.006671143790849677,0.0022168322147650987,0.004295406451612903,-0.0038343057324840757,0.0002860000000000054,0.0006629999999999907
2018-30,0.015011793103448271,0.018971428571428566,0.030735628378378364,0.025038562091503284,0.03182463461538461,0.0296490705128205,0.03733766013071895,0.03404741610738255,0.03876649032258064,0.03933028662420381,0.0002860000000000054,0.016868999999999818
2018-31,-0.05176395862068962,-0.05845095918367347,-0.05127396621621619,-0.058016006535947705,-0.05987585897435895,-0.060178916666666686,-0.055445424836601295,-0.06067006711409397,-0.0561757290322581,-0.06294529936305729,0.0002860000000000054,-0.05264400000000071
2018-32,0.012755503448275866,0.014410755102040818,0.02202141891891891,0.018610098039215695,0.02315646153846154,0.023268698717948722,0.021670627450980386,0.03166498657718121,0.025636496774193548,0.03075432484076432,0.0002860000000000054,0.023122999999999037
2018-33,-0.04065173103448274,-0.04667325850340138,-0.04105719594594594,-0.03939853594771241,-0.046256871794871805,-0.04188108333333333,-0.04888864052287582,-0.04467271140939597,-0.04358065161290322,-0.04943114649681529,0.0002860000000000054,-0.04682199999999984
2018-34,0.013709531034482756,0.011457809523809523,0.010583614864864865,0.011538810457516339,0.008612134615384617,0.00997420512820513,0.009976503267973854,0.007088093959731544,0.008027541935483874,0.008986445859872612,0.0002860000000000054,0.02153799999999967
2018-35,-0.005214882758620689,-0.0017237074829931974,-0.006630993243243247,-0.0049747516339869275,-0.008940064102564102,-0.0011775769230769231,-0.006808424836601308,-0.010784355704697985,-0.008244161290322584,-0.009428783439490454,0.0002860000000000054,-0.001106000000000035
2018-36,-0.007424524137931034,-0.006769108843537414,-0.005930675675675676,-0.009281666666666667,-0.005268583333333333,-0.002100935897435897,-0.008207725490196079,-0.007497432432432431,-0.004633064516129031,-0.007211560509554142,0.0002860000000000054,-0.011646999999999965
2018-37,-0.014533027586206898,-0.015945802721088434,-0.011624817567567572,-0.011601895424836597,-0.016151730769230765,-0.012548282051282047,-0.014243843137254903,-0.010269308724832216,-0.013743619354838713,-0.014818955414012732,0.0002860000000000054,-0.009555999999999907
2018-38,0.02091363448275863,0.02438215646258503,0.02545861486486486,0.026858516339869284,0.02826705769230772,0.028056230769230767,0.02634652941176471,0.02419912080536913,0.02650026451612904,0.033749267515923546,0.0002860000000000054,0.04413699999999963
2018-39,0.0017811241379310347,0.0018604013605442167,-0.00100285135135135,-0.004160751633986928,-0.0023405769230769222,-0.006469025641025641,-0.006358718954248368,-0.00547481208053691,-0.004852199999999999,-0.013200668789808924,0.0002860000000000054,0.006785999999999962
